Public ID,Organization,Availability,System Name (click + for details),Processor (click + for details),Accelerator (click + for details),Benchmark,Model MLC,Scenario,Units,Division/Power,# of Accelerators,# of Nodes,Accelerator (click + for details),Availability,Host Processor Core Count,Processor (click + for details),Avg. Result at System Name,Sum of # of  Processors ,Sum of # of  Processors 
5.1-0004,AMD,available,Quanta S7PA,2xAMD EPYC 9655,AMD Instinct MI325X 256GB HBM3e,Inference,stable-diffusion-xl,Server,Queries/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,0,2xAMD EPYC 9655,16.2044,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,dlrm-v2-99,Offline,Samples/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,580460,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,dlrm-v2-99,Server,Queries/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,450100,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,dlrm-v2-99.9,Offline,Samples/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,348225,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,dlrm-v2-99.9,Server,Queries/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,330555,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,30487,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,25614.68,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,30490.8,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,24554.71,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,retinanet,Offline,Samples/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,13319.5,2,2
5.1-0005,ASUSTeK,available,ESC8000A-E12 (8x H200-NVL-141GB TensorRT),AMD EPYC 9374F 32-Core Processor,NVIDIA H200-NVL-141GB,Inference,retinanet,Server,Queries/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,32,AMD EPYC 9374F 32-Core Processor,12801.9,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,33987.4,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,31241.01,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,15566.2,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,33987.4,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,31241.01,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,llama2-70b-99.9,Interactive,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,15566.2,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,mixtral-8x7b,Offline,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,68121.2,2,2
5.1-0006,ASUSTeK,available,ESC_A8A_MI325X_256GBx8,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3e,Inference,mixtral-8x7b,Server,Tokens/s,Closed ,8,1,AMD Instinct MI325X 256GB HBM3e,available,48,2x AMD EPYC 9475F,55800.3,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,dlrm-v2-99,Offline,Samples/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,643122,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,dlrm-v2-99,Server,Queries/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,591162,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,dlrm-v2-99.9,Offline,Samples/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,388058,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,dlrm-v2-99.9,Server,Queries/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,370066,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,35075.1,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,34193.81,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,34887.2,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,29026.93,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,mixtral-8x7b,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,61372.4,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,mixtral-8x7b,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,59992.8,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,retinanet,Offline,Samples/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,14451.7,2,2
5.1-0007,ASUSTeK,available,ASUSTeK ESC N8 H200 (8x H200-SXM-141GB TensorRT),INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H200-SXM-141GB,Inference,retinanet,Server,Queries/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,60,INTEL(R) XEON(R) PLATINUM 8580,14406,2,2
5.1-0008,Azure,available,ND_GB200_v6,NVIDIA Grace CPU,NVIDIA GB200,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,4,1,NVIDIA GB200,available,144,NVIDIA Grace CPU,52061.6,2,2
5.1-0008,Azure,available,ND_GB200_v6,NVIDIA Grace CPU,NVIDIA GB200,Inference,llama2-70b-99,Server,Tokens/s,Closed ,4,1,NVIDIA GB200,available,144,NVIDIA Grace CPU,46016.49,2,2
5.1-0008,Azure,available,ND_GB200_v6,NVIDIA Grace CPU,NVIDIA GB200,Inference,llama3.1-405b,Offline,Tokens/s,Closed ,4,1,NVIDIA GB200,available,144,NVIDIA Grace CPU,847.233,2,2
5.1-0008,Azure,available,ND_GB200_v6,NVIDIA Grace CPU,NVIDIA GB200,Inference,llama3.1-405b,Server,Tokens/s,Closed ,4,1,NVIDIA GB200,available,144,NVIDIA Grace CPU,584.008,2,2
5.1-0009,Broadcom_Supermicro,available,Supermicro SYS-422GA-NBRT-LCC (8x B200-SXM-180GB TensorRT),AMD TURIN 9965,NVIDIA B200-SXM-180GB,Inference,llama3.1-405b,Offline,Tokens/s,Closed ,8,1,NVIDIA B200-SXM-180GB,available,192,AMD TURIN 9965,1650.43,2,2
5.1-0009,Broadcom_Supermicro,available,Supermicro SYS-422GA-NBRT-LCC (8x B200-SXM-180GB TensorRT),AMD TURIN 9965,NVIDIA B200-SXM-180GB,Inference,llama3.1-405b,Server,Tokens/s,Closed ,8,1,NVIDIA B200-SXM-180GB,available,192,AMD TURIN 9965,1243.86,2,2
5.1-0009,Broadcom_Supermicro,available,Supermicro SYS-422GA-NBRT-LCC (8x B200-SXM-180GB TensorRT),AMD TURIN 9965,NVIDIA B200-SXM-180GB,Inference,stable-diffusion-xl,Offline,Samples/s,Closed ,8,1,NVIDIA B200-SXM-180GB,available,192,AMD TURIN 9965,31.8413,2,2
5.1-0009,Broadcom_Supermicro,available,Supermicro SYS-422GA-NBRT-LCC (8x B200-SXM-180GB TensorRT),AMD TURIN 9965,NVIDIA B200-SXM-180GB,Inference,stable-diffusion-xl,Server,Queries/s,Closed ,8,1,NVIDIA B200-SXM-180GB,available,192,AMD TURIN 9965,28.7042,2,2
5.1-0009,Broadcom_Supermicro,available,Supermicro SYS-422GA-NBRT-LCC (8x B200-SXM-180GB TensorRT),AMD TURIN 9965,NVIDIA B200-SXM-180GB,Inference,whisper,Offline,Tokens/s,Closed ,8,1,NVIDIA B200-SXM-180GB,available,192,AMD TURIN 9965,41927.4,2,2
5.1-0010,Cisco,available,C240M8-1-node-2S-GNR_86C,INTEL(R) XEON(R) 6787P,N/A,Inference,retinanet,Offline,Samples/s,Closed ,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,498.421,2,2
5.1-0010,Cisco,available,C240M8-1-node-2S-GNR_86C,INTEL(R) XEON(R) 6787P,N/A,Inference,retinanet,Server,Queries/s,Closed ,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,400.421,2,2
5.1-0010,Cisco,available,C240M8-1-node-2S-GNR_86C,INTEL(R) XEON(R) 6787P,N/A,Inference,whisper,Offline,Tokens/s,Closed ,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,1403.84,2,2
5.1-0011,Cisco,available,Cisco UCS C845A M8 (8x H200-NVL-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama3.1-8b-datacenter,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,64,AMD EPYC 9575F 64-Core Processor,50776.8,2,2
5.1-0011,Cisco,available,Cisco UCS C845A M8 (8x H200-NVL-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-NVL-141GB,Inference,llama3.1-8b-datacenter,Server,Tokens/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,64,AMD EPYC 9575F 64-Core Processor,38696.9,2,2
5.1-0011,Cisco,available,Cisco UCS C845A M8 (8x H200-NVL-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-NVL-141GB,Inference,retinanet,Offline,Samples/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,64,AMD EPYC 9575F 64-Core Processor,13263.4,2,2
5.1-0011,Cisco,available,Cisco UCS C845A M8 (8x H200-NVL-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-NVL-141GB,Inference,retinanet,Server,Queries/s,Closed ,8,1,NVIDIA H200-NVL-141GB,available,64,AMD EPYC 9575F 64-Core Processor,13202.8,2,2
5.1-0012,Cisco,available,Cisco UCS C845A M8 (8x L40S-48GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA L40S,Inference,retinanet,Offline,Samples/s,Closed ,8,1,NVIDIA L40S,available,64,AMD EPYC 9575F 64-Core Processor,6518.39,2,2
5.1-0012,Cisco,available,Cisco UCS C845A M8 (8x L40S-48GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA L40S,Inference,retinanet,Server,Queries/s,Closed ,8,1,NVIDIA L40S,available,64,AMD EPYC 9575F 64-Core Processor,6101.41,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,68894.8,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,66438.96,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,68894.8,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,66438.96,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama3.1-405b,Offline,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,1086.01,2,2
5.1-0013,Cisco,available,Cisco UCS C885A M8 (16x H200-SXM-141GB TensorRT),AMD EPYC 9575F,NVIDIA H200-SXM-141GB,Inference,llama3.1-405b,Server,Tokens/s,Closed ,8,2,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,584.291,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,34548.2,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,33163.34,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99,Interactive,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,19621.9,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,34548.2,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,33163.34,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama2-70b-99.9,Interactive,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,19621.9,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama3.1-8b-datacenter,Offline,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,58304.3,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,llama3.1-8b-datacenter,Server,Tokens/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,41291,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,retinanet,Offline,Samples/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,14923.3,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,retinanet,Server,Queries/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,14355.8,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,stable-diffusion-xl,Offline,Samples/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,19.1227,2,2
5.1-0014,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),AMD EPYC 9575F 64-Core Processor,NVIDIA H200-SXM-141GB,Inference,stable-diffusion-xl,Server,Queries/s,Closed ,8,1,NVIDIA H200-SXM-141GB,available,64,AMD EPYC 9575F 64-Core Processor,18.3718,2,2
5.1-0015,Cisco,available,HPF HGX System (16xH100-SXM-80GB TensorRT),INTEL(R) XEON(R) PLATINUM 8592+,NVIDIA H100-SXM-80GB,Inference,llama2-70b-99,Offline,Tokens/s,Closed ,8,2,NVIDIA H100-SXM-80GB,available,64,INTEL(R) XEON(R) PLATINUM 8592+,62351.6,2,2
5.1-0015,Cisco,available,HPF HGX System (16xH100-SXM-80GB TensorRT),INTEL(R) XEON(R) PLATINUM 8592+,NVIDIA H100-SXM-80GB,Inference,llama2-70b-99,Server,Tokens/s,Closed ,8,2,NVIDIA H100-SXM-80GB,available,64,INTEL(R) XEON(R) PLATINUM 8592+,61101.32,2,2
