market,year,n_rounds,usd_total,syndication_share_rounds,syndication_share_usd,fragmentation_share_rounds,fragmentation_share_usd
EU-27 (member states),2002,55,481967895,0.1091,0.1506,0.3818,0.0941
EU-27 (member states),2003,55,475485967,0.1455,0.329,0.2545,0.1726
EU-27 (member states),2004,82,1097639109,0.1585,0.2086,0.3537,0.1199
EU-27 (member states),2005,181,1320720020,0.1271,0.2579,0.1713,0.1122
EU-27 (member states),2006,266,1622439273,0.1015,0.2447,0.2293,0.1656
EU-27 (member states),2007,318,2535458744,0.1352,0.3099,0.2013,0.1416
EU-27 (member states),2008,302,2551973163,0.1026,0.2119,0.255,0.155
EU-27 (member states),2009,271,1808227088,0.1107,0.255,0.1808,0.1891
EU-27 (member states),2010,403,2136481348,0.0744,0.1876,0.1787,0.1265
EU-27 (member states),2011,519,2621843320,0.0617,0.1629,0.1792,0.1124
EU-27 (member states),2012,764,2857063333,0.0785,0.1375,0.2526,0.0984
EU-27 (member states),2013,1112,7584853528,0.0603,0.0729,0.1915,0.5291
EU-27 (member states),2014,1295,6351967395,0.088,0.1528,0.2162,0.1092
EU-27 (member states),2015,1659,8669958034,0.1007,0.2201,0.2007,0.123
EU-27 (member states),2016,1827,7418945015,0.1106,0.1699,0.1883,0.1212
EU-27 (member states),2017,2013,9584039529,0.1113,0.2847,0.1863,0.1523
EU-27 (member states),2018,2166,16302596165,0.1214,0.1984,0.2004,0.1748
EU-27 (member states),2019,2358,19501661533,0.1463,0.3504,0.2256,0.2055
EU-27 (member states),2020,2562,20183009507,0.1714,0.3354,0.2162,0.1504
EU-27 (member states),2021,3599,59924308314,0.2148,0.4152,0.2459,0.1542
EU-27 (member states),2022,3547,40851661422,0.2303,0.3735,0.2608,0.1746
EU-27 (member states),2023,3054,24743341941,0.2325,0.427,0.2272,0.1754
EU-27 (member states),2024,2422,25596534626,0.2721,0.4094,0.2457,0.1847
EU-27 (member states),2025,2228,29449582642,0.3061,0.4927,0.2379,0.1887
EU-27 (member states),2026,844,16248891854,0.3436,0.4315,0.2014,0.1391
EU+ (EU-27 + UK + EFTA),2000,156,2455755658,0.1474,0.2054,0.5128,0.2116
EU+ (EU-27 + UK + EFTA),2001,112,1167874661,0.1786,0.2052,0.375,0.1647
EU+ (EU-27 + UK + EFTA),2002,106,1085477456,0.1604,0.2398,0.3962,0.2022
EU+ (EU-27 + UK + EFTA),2003,104,859665695,0.2212,0.4412,0.2788,0.2382
EU+ (EU-27 + UK + EFTA),2004,143,1726848370,0.2098,0.3384,0.3077,0.3004
EU+ (EU-27 + UK + EFTA),2005,308,2221272009,0.1851,0.3306,0.1851,0.2308
EU+ (EU-27 + UK + EFTA),2006,419,2846644606,0.1456,0.273,0.2387,0.1949
EU+ (EU-27 + UK + EFTA),2007,523,4168327705,0.1969,0.3922,0.2141,0.2832
EU+ (EU-27 + UK + EFTA),2008,515,4177339097,0.1437,0.2513,0.2505,0.2467
EU+ (EU-27 + UK + EFTA),2009,473,2924286638,0.1776,0.3798,0.2051,0.2912
EU+ (EU-27 + UK + EFTA),2010,689,3563520411,0.119,0.2645,0.18,0.202
EU+ (EU-27 + UK + EFTA),2011,871,4297342381,0.1148,0.2551,0.1871,0.1865
EU+ (EU-27 + UK + EFTA),2012,1246,4806489138,0.1156,0.2454,0.2384,0.197
EU+ (EU-27 + UK + EFTA),2013,1725,9978492450,0.1339,0.2005,0.2023,0.5
EU+ (EU-27 + UK + EFTA),2014,2165,9855829106,0.1353,0.2243,0.2208,0.1761
EU+ (EU-27 + UK + EFTA),2015,2697,14098924668,0.1609,0.4156,0.2036,0.2153
EU+ (EU-27 + UK + EFTA),2016,2914,13763127264,0.1582,0.2709,0.1994,0.1882
EU+ (EU-27 + UK + EFTA),2017,3192,19037363095,0.1623,0.3078,0.2002,0.189
EU+ (EU-27 + UK + EFTA),2018,3491,25738431221,0.1679,0.317,0.2088,0.2428
EU+ (EU-27 + UK + EFTA),2019,3782,31808588102,0.1935,0.425,0.23,0.2713
EU+ (EU-27 + UK + EFTA),2020,4132,34198108323,0.2217,0.4448,0.234,0.2319
EU+ (EU-27 + UK + EFTA),2021,5765,92902676223,0.2734,0.5063,0.2515,0.2561
EU+ (EU-27 + UK + EFTA),2022,5699,67803792526,0.2962,0.4755,0.2734,0.2484
EU+ (EU-27 + UK + EFTA),2023,4649,40517425789,0.2839,0.4791,0.2482,0.2584
EU+ (EU-27 + UK + EFTA),2024,3877,43423962851,0.3247,0.4675,0.2615,0.258
EU+ (EU-27 + UK + EFTA),2025,3492,49280463721,0.3494,0.5509,0.2623,0.2578
EU+ (EU-27 + UK + EFTA),2026,1351,33987769374,0.3953,0.5433,0.2346,0.1826
