"geo","domain","count"
"United Kingdom (GB)","Wholesale",4085057
"United States (US)","Electronic Design Automation (EDA)",42640000
"United States (US)","Field-Programmable Gate Array (FPGA)",10200000
"United States (US)","B2B",NA
"United States (US)","Fitness",NA
"United States (US)","Wearables",4000000
"The Netherlands (NL)","Electronics",NA
"The Netherlands (NL)","E-Commerce",NA
"The Netherlands (NL)","Books",NA
"The Netherlands (NL)","Hardware",NA
"United States (US)","Racing",9000000
"United States (US)","Automotive",NA
"United Kingdom (GB)","Mechanical Engineering",NA
"United Kingdom (GB)","Fuel",NA
"United States (US)","Consumer Goods",NA
"United States (US)","Shopping",NA
"Switzerland (CH)","Audio",13300000
"Switzerland (CH)","Software",NA
"Switzerland (CH)","Consumer Electronics",13300000
"United Kingdom (GB)","CRM",1611235
"United Kingdom (GB)","Enterprise Software",NA
"United States (US)","Real Time",105920000
"United States (US)","Public Transportation",26457000
"Canada (CA)","Energy",NA
"United Kingdom (GB)","Information Services",NA
"United Kingdom (GB)","Supply Chain Management",NA
"United States (US)","Document Management",NA
"United Kingdom (GB)","Energy Efficiency",23003842
"United Kingdom (GB)","Product Design",13517074
"United States (US)","IT Infrastructure",NA
"United States (US)","Industrial Engineering",NA
"United States (US)","Association",NA
"United States (US)","Human Resources",97200000
"United Kingdom (GB)","FinTech",2000000
"United Kingdom (GB)","Financial Services",NA
"Spain (ES)","E-Commerce",NA
"United Kingdom (GB)","Medical Device",NA
"United States (US)","Consumer",NA
"United States (US)","Consumer Applications",5300000
"United States (US)","iOS",NA
"Canada (CA)","Manufacturing",NA
"United States (US)","Robotics",NA
"United States (US)","Ediscovery",2241000
"The Netherlands (NL)","Advertising Platforms",NA
"United States (US)","Energy Efficiency",NA
"United States (US)","Real Estate",NA
"United States (US)","Debt Collections",NA
"United States (US)","Personal Finance",NA
"United States (US)","Credit",NA
"United States (US)","Legal",NA
"Mauritius (MU)","",NA
"United States (US)","Operating Systems",53000000
"United States (US)","Business Information Systems",NA
"Israel (IL)","Hardware",1300000
"Israel (IL)","Biometrics",1300000
"Israel (IL)","Software",NA
"Israel (IL)","Information Technology",NA
"Germany (DE)","Therapeutics",54583378
"United States (US)","Email",NA
"United States (US)","Leasing",NA
"United States (US)","Web Browsers",NA
"Morocco (MA)","Agriculture",NA
"Morocco (MA)","Farming",NA
"Morocco (MA)","Farmers Market",NA
"United States (US)","Marketing Automation",NA
"Germany (DE)","Semiconductor",10030457
"Germany (DE)","Electronics",NA
"United States (US)","Women's",22119000
"United States (US)","Loyalty Programs",3465000
"United States (US)","Restaurants",18965000
"United States (US)","DIY",3465000
"United States (US)","Gift Card",NA
"Canada (CA)","Life Science",20721561
"Canada (CA)","Biopharma",45021561
"Canada (CA)","Retail",NA
"Canada (CA)","Transportation",344189
"United States (US)","Speech Recognition",30400000
"Belgium (BE)","Finance",6993512
"Belgium (BE)","FinTech",6993512
"Belgium (BE)","Financial Services",NA
"Belgium (BE)","Payments",6993512
"United States (US)","Virtual Desktop",33800000
"United States (US)","IT Management",38500000
"Israel (IL)","Natural Language Processing",7500000
"Israel (IL)","Analytics",7500000
"Israel (IL)","Semantic Web",7500000
"Israel (IL)","Artificial Intelligence",7500000
"Israel (IL)","Neuroscience",22500000
"Israel (IL)","Text Analytics",7500000
"Australia (AU)","Software",5250000
"Australia (AU)","Finance",5000000
"Australia (AU)","Information Technology",5250000
"Australia (AU)","Financial Services",5000000
"Australia (AU)","Developer Platform",5000000
"United States (US)","Messaging",NA
"United States (US)","Social Network",34155000
"Canada (CA)","Web Design",NA
"Canada (CA)","Web Development",NA
"United States (US)","Cosmetic Surgery",12200000
"United Kingdom (GB)","App Marketing",NA
"United Kingdom (GB)","Shopping",NA
"Israel (IL)","Test and Measurement",7300000
"Israel (IL)","3D Technology",7300000
"Israel (IL)","Manufacturing",21300000
"France (FR)","Consumer Goods",NA
"United States (US)","Food and Beverage",NA
"United States (US)","Hospitality",NA
"United States (US)","Navigation",25400000
"Sweden (SE)","Telecommunications",NA
"Sweden (SE)","Software",NA
"United Kingdom (GB)","Risk Management",NA
"United States (US)","Electric Vehicle",3100000
"United States (US)","IaaS",17300000
"Germany (DE)","Wellness",NA
"Germany (DE)","Information Technology",NA
"Germany (DE)","Medical Device",NA
"Germany (DE)","Electronic Health Record (EHR)",NA
"United States (US)","Power Grid",NA
"Australia (AU)","Public Safety",250000
"Australia (AU)","Android",250000
"Australia (AU)","iOS",250000
"Australia (AU)","Retail",250000
"Australia (AU)","Location Based Services",250000
"Australia (AU)","Apps",250000
"Switzerland (CH)","Wireless",NA
"Switzerland (CH)","Point of Sale",NA
"United States (US)","",NA
"United States (US)","Data Center Automation",49000000
"United States (US)","Smart Home",4000000
"United Kingdom (GB)","Cryptocurrency",10000000
"United Kingdom (GB)","Mining",10000000
"United Kingdom (GB)","Precious Metals",10000000
"United Kingdom (GB)","Natural Resources",10000000
"Israel (IL)","Semiconductor",46000000
"Israel (IL)","Telecommunications",9500000
"United States (US)","Web Apps",16175000
"Canada (CA)","Enterprise Applications",5700000
"Canada (CA)","Real Time",5700000
"Canada (CA)","IT Infrastructure",5700000
"Germany (DE)","Communication Hardware",15000000
"Germany (DE)","Optical Communication",15000000
"Germany (DE)","Network Hardware",15000000
"Germany (DE)","DSP",15000000
"United Kingdom (GB)","Infrastructure",NA
"United States (US)","Travel",NA
"United States (US)","Facility Management",6700000
"Switzerland (CH)","Biotechnology",15859986
"Canada (CA)","Financial Services",3000000
"Canada (CA)","Analytics",7600000
"Canada (CA)","Banking",13000000
"Canada (CA)","Finance",3000000
"United States (US)","Machine Learning",NA
"Canada (CA)","Developer Platform",13595844
"United Kingdom (GB)","Software Engineering",2000000
"United Kingdom (GB)","Cyber Security",NA
"United Kingdom (GB)","Embedded Software",2000000
"United Kingdom (GB)","Security",12000000
"Switzerland (CH)","Big Data",NA
"Canada (CA)","Internet of Things",5100000
"Canada (CA)","Artificial Intelligence",5100000
"Canada (CA)","Machine Learning",5100000
"Canada (CA)","Customer Service",NA
"Canada (CA)","Q&A",5100000
"Canada (CA)","Artificial Intelligence (AI)",5100000
"Canada (CA)","Infrastructure",NA
"United States (US)","CleanTech",104341000
"China (CN)","Manufacturing",68939374
"United States (US)","Media and Entertainment",NA
"United States (US)","Podcast",100000000
"France (FR)","Pharmaceutical",NA
"France (FR)","Health Care",NA
"France (FR)","Biotechnology",NA
"New Zealand (NZ)","Cyber Security",5900000
"New Zealand (NZ)","Bookkeeping and Payroll",5900000
"New Zealand (NZ)","Information Technology",5900000
"New Zealand (NZ)","Information Services",5900000
"New Zealand (NZ)","Developer Tools",5900000
"New Zealand (NZ)","Software",5900000
"United Kingdom (GB)","Web Apps",NA
"United Kingdom (GB)","Data Management",NA
"Canada (CA)","Communications Infrastructure",11000000
"United States (US)","Card and Board Games",600000
"China (CN)","Publishing",362601
"China (CN)","Retail",362601
"China (CN)","Consumer Goods",362601
"United Kingdom (GB)","Jewelry",NA
"United Kingdom (GB)","B2B",NA
"United Kingdom (GB)","B2C",NA
"Sweden (SE)","Information Technology",3471530
"United States (US)","Business Travel",11500000
"United States (US)","Cloud Infrastructure",54500000
"United States (US)","Mortgage",7000000
"United States (US)","Point of Sale",7000000
"United States (US)","Fashion",23600000
"France (FR)","Cyber Security",NA
"France (FR)","Mobile",NA
"South Korea (KR)","Publishing",NA
"South Korea (KR)","Media and Entertainment",NA
"South Korea (KR)","Content",NA
"United States (US)","Android",NA
"United States (US)","Linux",12816182
"Denmark (DK)","Health Diagnostics",350000
"Denmark (DK)","Software",600000
"Denmark (DK)","Artificial Intelligence",350000
"Denmark (DK)","Artificial Intelligence (AI)",350000
"Canada (CA)","Test and Measurement",3500000
"Canada (CA)","Electronics",66789652
"Canada (CA)","Semiconductor",70175496
"Spain (ES)","Animal Feed",NA
"Spain (ES)","Food Processing",NA
"Spain (ES)","Food and Beverage",NA
"Spain (ES)","Nutrition",NA
"France (FR)","Developer Platform",23851740
"France (FR)","Wireless",13300000
"United States (US)","Brand Marketing",NA
"Japan (JP)","E-Learning",NA
"Japan (JP)","Internet",NA
"Japan (JP)","Information Services",NA
"United States (US)","Delivery",NA
"United States (US)","Commercial",NA
"United States (US)","Natural Resources",NA
"United States (US)","Advice",NA
"Spain (ES)","",56665122
"Norway (NO)","Building Material",NA
"United States (US)","Auctions",NA
"China (CN)","Web Apps",NA
"China (CN)","Gaming",NA
"China (CN)","Developer Platform",NA
"South Korea (KR)","Fitness",NA
"South Korea (KR)","Commercial",NA
"South Korea (KR)","Wellness",NA
"South Korea (KR)","Manufacturing",NA
"Canada (CA)","Health Care",NA
"The Netherlands (NL)","Education",NA
"The Netherlands (NL)","Serious Games",NA
"The Netherlands (NL)","Security",NA
"The Netherlands (NL)","Software",NA
"The Netherlands (NL)","Cyber Security",NA
"The Netherlands (NL)","Information Technology",NA
"The Netherlands (NL)","Professional Services",NA
"The Netherlands (NL)","Training",NA
"Italy (IT)","Health Care",NA
"Italy (IT)","Medical Device",NA
"United Kingdom (GB)","Travel Agency",10000000
"United Kingdom (GB)","Travel",10000000
"United Kingdom (GB)","Tourism",10000000
"Canada (CA)","Security",NA
"Canada (CA)","Cyber Security",NA
"Germany (DE)","Industrial",NA
"Germany (DE)","Manufacturing",NA
"Spain (ES)","Communities",NA
"Spain (ES)","Contact Management",NA
"Spain (ES)","Social Network",NA
"South Korea (KR)","Energy",NA
"South Korea (KR)","Industrial",NA
"South Korea (KR)","Battery",NA
"United Kingdom (GB)","Same Day Delivery",1601581
"United Kingdom (GB)","Courier Service",1601581
"Brazil (BR)","Life Science",NA
"Brazil (BR)","Product Research",NA
"Brazil (BR)","Biotechnology",NA
"Brazil (BR)","Bioinformatics",NA
"United States (US)","Unified Communications",4500000
"United States (US)","Peer to Peer",6800000
"United States (US)","Freelance",6800000
"United Kingdom (GB)","Electronics",NA
"United Kingdom (GB)","Hardware",NA
"United States (US)","Mining",3400000
"China (CN)","Hotel",15000000
"China (CN)","E-Commerce",NA
"China (CN)","Travel",15000000
"China (CN)","Transportation",15000000
"South Korea (KR)","Electronics",NA
"South Korea (KR)","Test and Measurement",NA
"Japan (JP)","Electronics",101600000
"Japan (JP)","Manufacturing",NA
"Japan (JP)","Product Design",100000000
"The Netherlands (NL)","Delivery",NA
"The Netherlands (NL)","Health Care",NA
"The Netherlands (NL)","Information Services",NA
"The Netherlands (NL)","Publishing",NA
"The Netherlands (NL)","Content Discovery",NA
"The Netherlands (NL)","Content",NA
"France (FR)","Women's",NA
"France (FR)","Textiles",NA
"Canada (CA)","Collaborative Consumption",800000
"Denmark (DK)","Telecommunications",12336671
"Denmark (DK)","Wireless",12336671
"Denmark (DK)","Mobile",12336671
"United States (US)","Email Marketing",NA
"United States (US)","Small and Medium Businesses",NA
"United Kingdom (GB)","Laser",NA
"United Kingdom (GB)","Cosmetic Surgery",NA
"United Kingdom (GB)","Cosmetics",NA
"United States (US)","Procurement",NA
"United States (US)","Energy Storage",5498000
"United Kingdom (GB)","Cloud Computing",10506198
"United Kingdom (GB)","Physical Security",3146198
"United Kingdom (GB)","Virtualization",10256198
"India (IN)","Advertising",NA
"India (IN)","Mobile",NA
"India (IN)","Delivery",3000000
"Canada (CA)","SEM",750000
"Canada (CA)","Search Engine",750000
"United States (US)","Leisure",5000000
"United States (US)","Gamification",5000000
"United States (US)","Social",29000000
"South Korea (KR)","E-Commerce",NA
"South Korea (KR)","Service Industry",NA
"South Korea (KR)","Price Comparison",NA
"South Korea (KR)","Information Services",NA
"United States (US)","Wealth Management",NA
"United States (US)","Water",4139000
"United States (US)","Environmental Consulting",600000
"United States (US)","Printing",16357500
"Greece (GR)","Retail",6719091
"Greece (GR)","Food and Beverage",6719091
"United States (US)","Developer APIs",15650000
"Germany (DE)","Health Diagnostics",35695698
"France (FR)","Customer Service",2266605
"France (FR)","Management Information Systems",2266605
"France (FR)","SaaS",2266605
"United States (US)","Real Estate Brokerage",16000000
"United States (US)","Commercial Real Estate",12500000
"United States (US)","Real Estate Investment",3000000
"Turkiye (TR)","Hardware",NA
"Turkiye (TR)","Telecommunications",NA
"Turkiye (TR)","Internet",NA
"Italy (IT)","Finance",NA
"Italy (IT)","Financial Services",NA
"Switzerland (CH)","Mobile",NA
"Switzerland (CH)","Embedded Systems",26946346
"Switzerland (CH)","Web Development",26946346
"Belgium (BE)","Impact Investing",7147
"Belgium (BE)","Emerging Markets",7147
"Belgium (BE)","Business Development",7147
"France (FR)","News",NA
"France (FR)","Telecommunications",NA
"France (FR)","Satellite Communication",NA
"United States (US)","Cloud Management",6000000
"Finland (FI)","Security",NA
"Finland (FI)","Electronics",NA
"United States (US)","Insurance",NA
"South Korea (KR)","Automotive",NA
"South Korea (KR)","Machinery Manufacturing",NA
"United Kingdom (GB)","Education",NA
"United Kingdom (GB)","Computer",NA
"France (FR)","Broadcasting",2260721
"Canada (CA)","Digital Marketing",NA
"Canada (CA)","Marketing",NA
"United Kingdom (GB)","Genetics",NA
"United States (US)","Film",NA
"United States (US)","Ticketing",NA
"Ireland (IE)","Consumer Electronics",NA
"Ireland (IE)","Electronics",NA
"Ireland (IE)","Manufacturing",NA
"United Kingdom (GB)","Apps",NA
"United Kingdom (GB)","Mobile Apps",17003400
"United States (US)","Marketplace",NA
"Morocco (MA)","Manufacturing",NA
"Morocco (MA)","Customer Service",NA
"Morocco (MA)","Packaging Services",NA
"Belgium (BE)","Software",NA
"United States (US)","Credit Cards",NA
"United States (US)","Debit Cards",NA
"United States (US)","Knowledge Management",33574000
"Israel (IL)","Internet",6000000
"Israel (IL)","Mobile",NA
"United States (US)","Advanced Materials",NA
"United States (US)","Chemical Engineering",3000000
"China (CN)","Media and Entertainment",NA
"China (CN)","Marketing",NA
"China (CN)","Advertising",NA
"China (CN)","Advertising Platforms",NA
"China (CN)","Digital Media",NA
"Bulgaria (BG)","Internet",NA
"Bulgaria (BG)","Lifestyle",NA
"United States (US)","Food Processing",NA
"United States (US)","Grocery",31000000
"United States (US)","Tea",31000000
"United States (US)","Coffee",31000000
"United States (US)","Bakery",NA
"United States (US)","Fruit",31000000
"United States (US)","Delivery Service",NA
"United States (US)","Food Delivery",31000000
"United States (US)","Catering",31000000
"United States (US)","Craft Beer",31000000
"Philippines (PH)","Gaming",13000000
"Philippines (PH)","Social Media",13000000
"Philippines (PH)","Private Social Networking",13000000
"Philippines (PH)","Digital Entertainment",13000000
"Honduras (HN)","Film",NA
"Honduras (HN)","Media and Entertainment",NA
"Honduras (HN)","Film Production",NA
"Honduras (HN)","Film Distribution",NA
"South Korea (KR)","Health Care",NA
"South Korea (KR)","Pharmaceutical",NA
"Trinidad and Tobago (TT)","Financial Services",10000000
"Trinidad and Tobago (TT)","Trading Platform",10000000
"Trinidad and Tobago (TT)","Finance",10000000
"United States (US)","Online Games",25160000
"Germany (DE)","Online Games",NA
"Germany (DE)","Gaming",NA
"Germany (DE)","Social Media",NA
"Germany (DE)","Casual Games",NA
"United States (US)","Rental",NA
"United States (US)","Subscription Service",4573810
"United States (US)","Gambling",7000000
"Sweden (SE)","Fashion",NA
"Sweden (SE)","Lifestyle",NA
"Germany (DE)","Cyber Security",2493684
"Denmark (DK)","Health Care",NA
"Denmark (DK)","Pharmaceutical",NA
"Denmark (DK)","Medical Device",NA
"Austria (AT)","Chemical",NA
"Austria (AT)","Manufacturing",NA
"Israel (IL)","Medical",19800000
"Israel (IL)","Biotechnology",9700000
"Israel (IL)","Health Care",28700000
"South Korea (KR)","Life Science",NA
"South Korea (KR)","Biotechnology",NA
"South Korea (KR)","Medical",NA
"Canada (CA)","Medical Device",NA
"Argentina (AR)","Consumer Goods",NA
"United States (US)","Oncology",26656000
"United States (US)","Communities",NA
"Germany (DE)","Software Engineering",NA
"France (FR)","Energy",NA
"France (FR)","Oil and Gas",NA
"United Kingdom (GB)","Flash Storage",7110000
"United Kingdom (GB)","Consulting",20894000
"United Kingdom (GB)","Management Consulting",NA
"United Kingdom (GB)","Business Information Systems",NA
"Finland (FI)","Consulting",NA
"Finland (FI)","Service Industry",NA
