,id,forum,number,title,abstract,authors,authorids,venue,venueid,primary_area,pdf,cdate_iso,pdate_iso,mdate_iso,openreview_url,institutions
1151,fqmSGK8C0B,fqmSGK8C0B,13914,Deep Learning for Computing Convergence Rates of Markov Chains,"Convergence rate analysis for general state-space Markov chains is fundamentally important in operations research (stochastic systems) and machine learning (stochastic optimization). This problem, however, is notoriously difficult because traditional analytical methods often do not generate practically useful convergence bounds for realistic Markov chains. We propose the Deep Contractive Drift Calculator (DCDC), the first general-purpose sample-based algorithm for bounding the convergence of Markov chains to stationarity in Wasserstein distance. The DCDC has two components. First, inspired by the new convergence analysis framework in (Qu et.al, 2023), we introduce the Contractive Drift Equation (CDE), the solution of which leads to an explicit convergence bound. Second, we develop an efficient neural-network-based CDE solver. Equipped with these two components, DCDC solves the CDE and converts the solution into a convergence bound. We analyze the sample complexity of the algorithm and further demonstrate the effectiveness of the DCDC by generating convergence bounds for realistic Markov chains arising from stochastic processing networks as well as constant step-size stochastic optimization.",Yanlin Qu; Jose Blanchet; Peter Glynn,~Yanlin_Qu1; ~Jose_Blanchet1; ~Peter_Glynn2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,probabilistic_methods,/pdf/71520aac56c6d400a454b10c65ff7bfb01f09cd3.pdf,2024-05-15T03:35:23.830000,2024-09-25T18:14:14.560000,2024-11-06T06:19:22.119000,https://openreview.net/forum?id=fqmSGK8C0B,Stanford University; Columbia Business School
1173,loMa99A4p8,loMa99A4p8,13843,Diffusion Models With Learned Adaptive Noise,"Diffusion models have gained traction as powerful algorithms for synthesizing high-quality images. Central to these algorithms is the diffusion process, a set of equations which maps data to noise 
in a way that can significantly affect performance. 
In this paper, we explore whether the diffusion
process can be learned from data.
Our work is grounded in Bayesian inference and seeks to improve log-likelihood estimation by casting the learned diffusion process as an approximate variational posterior that yields a tighter lower bound (ELBO) on the likelihood.
A widely held assumption is that the ELBO is invariant to the noise process: our work dispels this assumption and proposes multivariate learned adaptive noise (MuLAN), a learned diffusion process that applies noise at different rates across an image. Our method consists of three components: a multivariate noise schedule, adaptive input-conditional diffusion, and auxiliary variables; these components ensure that the ELBO is no longer invariant to the choice of the noise schedule as in previous works.  Empirically, MuLAN sets a new **state-of-the-art** in density estimation on CIFAR-10 and ImageNet while matching the performance of previous state-of-the-art models with **50%** fewer steps.  We provide the code, along with a blog post and video tutorial on the project page: https://s-sahoo.com/MuLAN",Subham Sekhar Sahoo; Aaron Gokaslan; Christopher De Sa; Volodymyr Kuleshov,~Subham_Sekhar_Sahoo1; ~Aaron_Gokaslan1; ~Christopher_De_Sa2; ~Volodymyr_Kuleshov1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/dde73f70550a3352ef5e2ea68d6a2803649c09eb.pdf,2024-05-15T03:24:45.264000,2024-09-25T18:14:12.175000,2024-11-06T06:19:20.985000,https://openreview.net/forum?id=loMa99A4p8,Cornell University; Cornell University; Together AI; Cornell University; Cornell University
1194,seAuMedrm5,seAuMedrm5,13743,Aligner-Encoders: Self-Attention Transformers Can Be Self-Transducers,"Modern systems for automatic speech recognition, including the RNN-Transducer and Attention-based Encoder-Decoder (AED), are designed so that the encoder is not required to alter the time-position of information from the audio sequence into the embedding; alignment to the final text output is processed during decoding. We discover that the transformer-based encoder adopted in recent years is actually capable of performing the alignment internally during the forward pass, prior to decoding. This new phenomenon enables a simpler and more efficient model, the ''Aligner-Encoder''. To train it, we discard the dynamic programming of RNN-T in favor of the frame-wise cross-entropy loss of AED, while the decoder employs the lighter text-only recurrence of RNN-T without learned cross-attention---it simply scans embedding frames in order from the beginning, producing one token each until predicting the end-of-message. We conduct experiments demonstrating performance remarkably close to the state of the art, including a special inference configuration enabling long-form recognition. In a representative comparison, we measure the total inference time for our model to be 2x faster than RNN-T and 16x faster than AED.  Lastly, we find that the audio-text alignment is clearly visible in the self-attention weights of a certain layer, which could be said to perform ''self-transduction''.",Adam Stooke; Rohit Prabhavalkar; Khe Chai Sim; Pedro J Moreno Mengibar,~Adam_Stooke3; ~Rohit_Prabhavalkar1; ~Khe_Chai_Sim1; ~Pedro_J_Moreno_Mengibar1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,speech_and_audio,/pdf/11159878c4995c45c2677ccd7b2f5bbccb14fb0b.pdf,2024-05-15T03:09:44.643000,2024-09-25T18:14:08.763000,2024-11-06T06:19:20.092000,https://openreview.net/forum?id=seAuMedrm5,
1205,MN4nt01TeO,MN4nt01TeO,13697,Adaptive Randomized Smoothing: Certified Adversarial Robustness for Multi-Step Defences,"We propose Adaptive Randomized Smoothing (ARS) to certify the predictions of our test-time adaptive models against adversarial examples.
ARS extends the analysis of randomized smoothing using $f$-Differential Privacy to certify the adaptive composition of multiple steps.
For the first time, our theory covers the sound adaptive composition of general and high-dimensional functions of noisy inputs.
We instantiate ARS on deep image classification to certify predictions against adversarial examples of bounded $L_{\infty}$ norm.
In the $L_{\infty}$ threat model, ARS enables flexible adaptation through high-dimensional input-dependent masking.
We design adaptivity benchmarks, based on CIFAR-10 and CelebA, and show that ARS improves standard test accuracy by  1 to 15\% points.
On ImageNet, ARS improves certified test accuracy by up to 1.6% points over standard RS without adaptivity. Our code is available at [https://github.com/ubc-systopia/adaptive-randomized-smoothing](https://github.com/ubc-systopia/adaptive-randomized-smoothing).",Saiyue Lyu; Shadab Shaikh; Frederick Shpilevskiy; Evan Shelhamer; Mathias Lécuyer,~Saiyue_Lyu1; ~Shadab_Shaikh1; ~Frederick_Shpilevskiy1; ~Evan_Shelhamer2; ~Mathias_Lécuyer2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,privacy,/pdf/4e8c2eeb8e6a10b583f49ab7ebc7d1be83c64e6f.pdf,2024-05-15T03:03:39.266000,2024-09-25T18:14:07.181000,2025-01-17T22:52:21.719000,https://openreview.net/forum?id=MN4nt01TeO,University of British Columbia; University of British Columbia; University of British Columbia; Google; University of British Columbia
1211,OIsUWQSvkD,OIsUWQSvkD,13635,Identifying Causal Effects Under Functional Dependencies,"We study the identification of causal effects, motivated by two improvements to identifiability which can be attained if one knows that some variables in a causal graph are functionally determined by their parents (without needing to know the specific functions). First, an unidentifiable causal effect may become identifiable when certain variables are functional. Second, certain functional variables can be excluded from being observed without affecting the identifiability of a causal effect, which may significantly reduce the number of needed variables in observational data. Our results are largely based on an elimination procedure which removes functional variables from a causal graph while preserving key properties in the resulting causal graph, including the identifiability of causal effects.",Yizuo Chen; Adnan Darwiche,~Yizuo_Chen1; ~Adnan_Darwiche1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,causal_inference,/pdf/518f2d5734d4a036ab2ea8675c6e83a7c11eb342.pdf,2024-05-15T02:54:04.447000,2024-09-25T18:14:05.407000,2024-11-06T06:19:19.399000,https://openreview.net/forum?id=OIsUWQSvkD,
1223,zeYyq0GpXO,zeYyq0GpXO,13571,Exploring Context Window of Large Language Models via Decomposed Positional Vectors,"Transformer-based large language models (LLMs) typically have a limited context window, resulting in significant performance degradation when processing text beyond the length of the context window. Extensive studies have been proposed to extend the context window and achieve length extrapolation of LLMs, but there is still a lack of in-depth interpretation of these approaches. In this study, we explore the positional information within and beyond the context window for deciphering the underlying mechanism of LLMs. By using a mean-based decomposition method, we disentangle positional vectors from hidden states of LLMs and analyze their formation and effect on attention. Furthermore, when texts exceed the context window, we analyze the change of positional vectors in two settings, i.e., direct extrapolation and context window extension. Based on our findings, we design two training-free context window extension methods, positional vector replacement and attention window extension. Experimental results show that our methods can effectively extend the context window length.",zican Dong; Junyi Li; Xin Men; Xin Zhao; Bingning Wang; Zhen Tian; weipeng chen; Ji-Rong Wen,~zican_Dong1; ~Junyi_Li4; ~Xin_Men1; ~Xin_Zhao10; ~Bingning_Wang3; ~Zhen_Tian1; ~weipeng_chen2; ~Ji-Rong_Wen1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,natural_language_processing,/pdf/93def3ab0f03ff754a0ecc781166fd37fd5b563c.pdf,2024-05-15T02:40:52.372000,2024-09-25T18:14:03.517000,2024-11-06T06:19:18.840000,https://openreview.net/forum?id=zeYyq0GpXO,Renmin University of China; National University of Singapore; Renmin University of China; Renmin University of China; Baichuan Inc.; Renmin University of China; Baichuan Inc.; Renmin University of China
1227,kEQFjKqiqM,kEQFjKqiqM,13553,Distributed-Order Fractional Graph Operating Network,"We introduce the Distributed-order fRActional Graph Operating Network (DRAGON), a novel continuous Graph Neural Network (GNN) framework that incorporates distributed-order fractional calculus. 
Unlike traditional continuous GNNs that utilize integer-order or single fractional-order differential equations, DRAGON uses a learnable probability distribution over a range of real numbers for the derivative orders. 
By allowing a flexible and learnable superposition of multiple derivative orders, our framework captures complex graph feature updating dynamics beyond the reach of conventional models.
We provide a comprehensive interpretation of our framework's capability to capture intricate dynamics through the lens of a non-Markovian graph random walk with node feature updating driven by an anomalous diffusion process over the graph. 
Furthermore, to highlight the versatility of the DRAGON framework, we conduct empirical evaluations across a range of graph learning tasks. The results consistently demonstrate superior performance when compared to traditional continuous GNN models. The implementation code is available at \url{https://github.com/zknus/NeurIPS-2024-DRAGON}.",Kai Zhao; Xuhao Li; Qiyu Kang; Feng Ji; Qinxu Ding; Yanan Zhao; Wenfei Liang; Wee Peng Tay,~Kai_Zhao7; ~Xuhao_Li2; ~Qiyu_Kang2; ~Feng_Ji2; ~Qinxu_Ding1; ~Yanan_Zhao1; ~Wenfei_Liang1; ~Wee_Peng_Tay1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,graph_neural_networks,/pdf/c82624477e33c3427be1e4c8b9093f4e5714ff96.pdf,2024-05-15T02:38:29.615000,2024-09-25T18:14:02.842000,2024-11-06T06:19:18.665000,https://openreview.net/forum?id=kEQFjKqiqM,Nanyang Technological University; University of Science and Technology of China; Nanyang Technological University; Singapore University of Social Sciences; Nanyang Technological University; Nanyang Technological University; Nanyang Technological University
1234,XCkII8nCt3,XCkII8nCt3,13512,Non-asymptotic Approximation Error Bounds of Parameterized Quantum Circuits,"Understanding the power of parameterized quantum circuits (PQCs) in accomplishing machine learning tasks is one of the most important questions in quantum machine learning. In this paper, we focus on the PQC expressivity for general multivariate function classes. Previously established Universal Approximation Theorems for PQCs are either nonconstructive or assisted with parameterized classical data processing, making it hard to justify whether the expressive power comes from the classical or quantum parts. We explicitly construct data re-uploading PQCs for approximating multivariate polynomials and smooth functions and establish the first non-asymptotic approximation error bounds for such functions in terms of the number of qubits, the quantum circuit depth and the number of trainable parameters of the PQCs. Notably, we show that for multivariate polynomials and multivariate smooth functions, the quantum circuit size and the number of trainable parameters of our proposed PQCs can be smaller than the deep ReLU neural networks. We further demonstrate the approximation capability of PQCs via numerical experiments. Our results pave the way for designing practical PQCs that can be implemented on near-term quantum devices with limited resources.",Zhan Yu; Qiuhao Chen; Yuling Jiao; Yinan Li; Xiliang Lu; Xin Wang; Jerry Zhijian Yang,~Zhan_Yu3; ~Qiuhao_Chen1; ~Yuling_Jiao1; ~Yinan_Li7; ~Xiliang_Lu1; ~Xin_Wang48; ~Jerry_Zhijian_Yang1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/1ee8ed6762c51163b940cb8aa20cebc8452854aa.pdf,2024-05-15T02:31:39.636000,2024-09-25T18:14:01.321000,2024-11-06T06:19:18.391000,https://openreview.net/forum?id=XCkII8nCt3,National University of Singapore; Wuhan University; Wuhan University; Hong Kong University of Science and Technology(Guangzhou)
1236,aeYNVtTo7o,aeYNVtTo7o,13499,Cell ontology guided transcriptome foundation model,"Transcriptome foundation models (TFMs) hold great promises of deciphering the transcriptomic language that dictate diverse cell functions by self-supervised learning on large-scale single-cell gene expression data, and ultimately unraveling the complex mechanisms of human diseases. However, current TFMs treat cells as independent samples and ignore the taxonomic relationships between cell types, which are available in cell ontology graphs. We argue that effectively leveraging this ontology information during the TFM pre-training can improve learning biologically meaningful gene co-expression patterns while preserving TFM as a general purpose foundation model for downstream zero-shot and fine-tuning tasks. To this end, we present **s**ingle **c**ell, **Cell**-**o**ntology guided TFM (scCello). We introduce cell-type coherence loss and ontology alignment loss, which are minimized along with the masked gene expression prediction loss during the pre-training. The novel loss component guide scCello to learn the cell-type-specific representation and the structural relation between cell types from the cell ontology graph, respectively. We pre-trained scCello on 22 million cells from CellxGene database leveraging their cell-type labels mapped to the cell ontology graph from Open Biological and Biomedical Ontology Foundry. Our TFM demonstrates competitive generalization and transferability performance over the existing TFMs on biologically important tasks including identifying novel cell types of unseen cells, prediction of cell-type-specific marker genes, and cancer drug responses. Source code and model
weights are available at https://github.com/DeepGraphLearning/scCello.",Xinyu Yuan; Zhihao Zhan; Zuobai Zhang; Manqi Zhou; Jianan Zhao; Boyu Han; Yue Li; Jian Tang,~Xinyu_Yuan2; ~Zhihao_Zhan1; ~Zuobai_Zhang1; ~Manqi_Zhou1; ~Jianan_Zhao2; ~Boyu_Han2; ~Yue_Li15; ~Jian_Tang1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_learning_for_healthcare,/pdf/919042e739897111ff32bf1d14ee96491face15e.pdf,2024-05-15T02:30:20.017000,2024-09-25T18:14:01.038000,2024-12-21T17:06:58.398000,https://openreview.net/forum?id=aeYNVtTo7o,Montreal Institute of Learning Algorithms; Montreal Institute of Learning Algorithms; NVIDIA; Montreal Institute of Learning Algorithms; Stanford University; McGill University
1240,S2P6KPLtm8,S2P6KPLtm8,13457,Identification and Estimation of the Bi-Directional MR with Some Invalid Instruments,"We consider the challenging problem of estimating causal effects from purely observational data in the bi-directional Mendelian randomization (MR), where some invalid instruments, as well as unmeasured confounding, usually exist. 
To address this problem, most existing methods attempt to find proper valid instrumental variables (IVs) for the target causal effect by expert knowledge or by assuming that the causal model is a one-directional MR model. 
As such, in this paper, we first theoretically investigate the identification of the bi-directional MR from observational data. In particular, we provide necessary and sufficient conditions under which valid IV sets are correctly identified such that the bi-directional MR model is identifiable, including the causal directions of a pair of phenotypes (i.e., the treatment and outcome).
Moreover, based on the identification theory, we develop a cluster fusion-like method to discover valid IV sets and estimate the causal effects of interest.
We theoretically demonstrate the correctness of the proposed algorithm.
Experimental results show the effectiveness of our method for estimating causal effects in both one-directional and bi-directional MR models.",Feng Xie; Zhen Yao; Lin Xie; Yan Zeng; Zhi Geng,~Feng_Xie1; ~Zhen_Yao3; ~Lin_Xie2; ~Yan_Zeng2; ~Zhi_Geng1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,causal_inference,/pdf/dcf44aa45df10d6f2ff0dfe02f73d706b6c8b903.pdf,2024-05-15T02:23:36.084000,2024-09-25T18:14:00.115000,2025-01-14T08:36:22.772000,https://openreview.net/forum?id=S2P6KPLtm8,Beijing University of Technology; Beijing University of Technology; Beijing University of Technology; Peking University; Beijing University of Technology
1248,eNM94i7R3A,eNM94i7R3A,13402,Get rich quick: exact solutions reveal how unbalanced initializations promote rapid feature learning,"While the impressive performance of modern neural networks is often attributed to their capacity to efficiently extract task-relevant features from data, the mechanisms underlying this *rich feature learning regime* remain elusive, with much of our theoretical understanding stemming from the opposing *lazy regime*. In this work, we derive exact solutions to a minimal model that transitions between lazy and rich learning, precisely elucidating how unbalanced *layer-specific* initialization variances and learning rates determine the degree of feature learning. Our analysis reveals that they conspire to influence the learning regime through a set of conserved quantities that constrain and modify the geometry of learning trajectories in parameter and function space. We extend our analysis to more complex linear models with multiple neurons, outputs, and layers and to shallow nonlinear networks with piecewise linear activation functions. In linear networks, rapid feature learning only occurs from balanced initializations, where all layers learn at similar speeds. While in nonlinear networks, unbalanced initializations that promote faster learning in earlier layers can accelerate rich learning. Through a series of experiments, we provide evidence that this unbalanced rich regime drives feature learning in deep finite-width networks, promotes interpretability of early layers in CNNs, reduces the sample complexity of learning hierarchical data, and decreases the time to grokking in modular arithmetic. Our theory motivates further exploration of unbalanced initializations to enhance efficient feature learning.",Daniel Kunin; Allan Raventos; Clémentine Carla Juliette Dominé; Feng Chen; David Klindt; Andrew M Saxe; Surya Ganguli,~Daniel_Kunin1; ~Allan_Raventos1; ~Clémentine_Carla_Juliette_Dominé1; ~Feng_Chen13; ~David_Klindt1; ~Andrew_M_Saxe1; ~Surya_Ganguli1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/b9cb4ee2820cac616b46d51306aa640e3b799c66.pdf,2024-05-15T02:14:20.558000,2024-09-25T18:13:58.290000,2024-11-06T06:19:17.825000,https://openreview.net/forum?id=eNM94i7R3A,University College London; Stanford University; University College London
1261,V0oJaLqY4E,V0oJaLqY4E,13338,Maximum Entropy Inverse Reinforcement Learning of Diffusion Models with Energy-Based Models,"We present a maximum entropy inverse reinforcement learning (IRL) approach for improving the sample quality of diffusion generative models, especially when the number of generation time steps is small. Similar to how IRL trains a policy based on the reward function learned from expert demonstrations, we train (or fine-tune) a diffusion model using the log probability density estimated from training data. 
Since we employ an energy-based model (EBM) to represent the log density, our approach boils down to the joint training of a diffusion model and an EBM. Our IRL formulation, named Diffusion by Maximum Entropy IRL (DxMI), is a minimax problem that reaches equilibrium when both models converge to the data distribution. The entropy maximization plays a key role in DxMI, facilitating the exploration of the diffusion model and ensuring the convergence of the EBM. We also propose Diffusion by Dynamic Programming (DxDP), a novel reinforcement learning algorithm for diffusion models, as a subroutine in DxMI. DxDP makes the diffusion model update in DxMI efficient by transforming the original problem into an optimal control formulation where value functions replace back-propagation in time. Our empirical studies show that diffusion models fine-tuned using DxMI can generate high-quality samples in as few as 4 and 10 steps.  Additionally, DxMI enables the training of an EBM without MCMC, stabilizing EBM training dynamics and enhancing anomaly detection performance.",Sangwoong Yoon; Himchan Hwang; Dohyun Kwon; Yung-Kyun Noh; Frank C. Park,~Sangwoong_Yoon1; ~Himchan_Hwang1; ~Dohyun_Kwon1; ~Yung-Kyun_Noh1; ~Frank_C._Park1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,generative_models,/pdf/fbd48eb1b53fd48de22ddd59edf0d18875315635.pdf,2024-05-15T02:02:05.168000,2024-09-25T18:13:56.280000,2024-11-06T06:19:17.320000,https://openreview.net/forum?id=V0oJaLqY4E,Korea Institute for Advanced Study; University of Seoul; Seoul National University
1280,lV4kTHTgpJ,lV4kTHTgpJ,13260,Model Fusion through Bayesian Optimization in Language Model Fine-Tuning,"Fine-tuning pre-trained models for downstream tasks is a widely adopted technique known for its adaptability and reliability across various domains. Despite its conceptual simplicity, fine-tuning entails several troublesome engineering choices, such as selecting hyperparameters and determining checkpoints from an optimization trajectory. To tackle the difficulty of choosing the best model, one effective solution is model fusion, which combines multiple models in a parameter space. However, we observe a large discrepancy between loss and metric landscapes during the fine-tuning of pre-trained language models. Building on this observation, we introduce a novel model fusion technique that optimizes both the desired metric and loss through multi-objective Bayesian optimization. In addition, to effectively select hyperparameters, we establish a two-stage procedure by integrating Bayesian optimization processes into our framework. Experiments across various downstream tasks show considerable performance improvements using our Bayesian optimization-guided method.",Chaeyun Jang; Hyungi Lee; Jungtaek Kim; Juho Lee,~Chaeyun_Jang1; ~Hyungi_Lee1; ~Jungtaek_Kim1; ~Juho_Lee2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,optimization_for_deep_networks,/pdf/a0c73d1c1962cefda48e9b0e93288b862aad428a.pdf,2024-05-15T01:45:46.471000,2024-09-25T18:13:53.552000,2024-12-27T04:23:04.248000,https://openreview.net/forum?id=lV4kTHTgpJ,Korea Advanced Institute of Science and Technology; Korea Advanced Institute of Science and Technology; University of Pittsburgh; University of Wisconsin - Madison; Korea Advanced Institute of Science and Technology
1281,8KPyJm4gt5,8KPyJm4gt5,13257,Is Behavior Cloning All You Need? Understanding Horizon in Imitation Learning,"Imitation learning (IL) aims to mimic the behavior of an expert in a sequential decision making task by learning from demonstrations, and has been widely applied to robotics, autonomous driving, and autoregressive text generation. The simplest approach to IL, behavior cloning (BC) is thought to incur sample complexity with unfavorable quadratic dependence on the problem horizon, motivating a variety of different online algorithms that attain improved linear horizon dependence under stronger assumptions on the data and the learner’s access to the expert. 

We revisit the apparent gap between offline and online IL from a learning-theoretic perspective, with a focus on general policy classes up to and including deep neural networks. Through a new analysis of BC with the logarithmic loss, we show that it is possible to achieve horizon-independent sample complexity in offline IL whenever (i) the range of the cumulative payoffs is controlled, and (ii) an appropriate notion of supervised learning complexity for the policy class is controlled. Specializing our results to deterministic, stationary policies, we show that the gap between offline and online IL is not fundamental: (i) it is possible to achieve linear dependence on horizon in offline IL under dense rewards (matching what was previously only known to be achievable in online IL); and (ii) without further assumptions on the policy class, online IL cannot improve over offline IL with the logarithmic loss, even in benign MDPs. We complement our theoretical results with experiments on standard RL tasks and autoregressive language generation to validate the practical relevance of our findings.",Dylan J Foster; Adam Block; Dipendra Misra,~Dylan_J_Foster1; ~Adam_Block1; ~Dipendra_Misra1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/35b6f0ccafd8894a3060f640ea7a24f2f4a405ba.pdf,2024-05-15T01:44:43.955000,2024-09-25T18:13:53.367000,2024-11-06T06:19:16.468000,https://openreview.net/forum?id=8KPyJm4gt5,"Microsoft; Microsoft; Massachusetts Institute of Technology; Microsoft; Databricks, Databricks"
1288,UdxpjKO2F9,UdxpjKO2F9,13226,Improving Environment Novelty Quantification for Effective Unsupervised Environment Design,"Unsupervised Environment Design (UED) formalizes the problem of autocurricula through interactive training between a teacher agent and a student agent. The teacher generates new training environments with high learning potential, curating an adaptive curriculum that strengthens the student's ability to handle unseen scenarios. Existing UED methods mainly rely on *regret*, a metric that measures the difference between the agent's optimal and actual performance, to guide curriculum design. Regret-driven methods generate curricula that progressively increase environment complexity for the student but overlook environment *novelty* — a critical element for enhancing an agent's generalizability. Measuring environment novelty is especially challenging due to the underspecified nature of environment parameters in UED, and existing approaches face significant limitations. To address this, this paper introduces the *Coverage-based Evaluation of Novelty In Environment* (CENIE) framework. CENIE proposes a scalable, domain-agnostic, and curriculum-aware approach to quantifying environment novelty by leveraging the student's state-action space coverage from previous curriculum experiences. We then propose an implementation of CENIE that models this coverage and measures environment novelty using Gaussian Mixture Models. By integrating both regret and novelty as complementary objectives for curriculum design, CENIE facilitates effective exploration across the state-action space while progressively increasing curriculum complexity. Empirical evaluations demonstrate that augmenting existing regret-based UED algorithms with CENIE achieves state-of-the-art performance across multiple benchmarks, underscoring the effectiveness of novelty-driven autocurricula for robust generalization.",Jayden Teoh; Wenjun Li; Pradeep Varakantham,~Jayden_Teoh1; ~Wenjun_Li1; ~Pradeep_Varakantham1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,reinforcement_learning,/pdf/395c3c5df43310736f6134ab07ff32330b2a8f45.pdf,2024-05-15T01:36:22.886000,2024-09-25T18:13:52.479000,2024-12-18T20:56:41.685000,https://openreview.net/forum?id=UdxpjKO2F9,Singapore Management University; Singapore Management University; Singapore Management University
1306,LnNfwc2Ah1,LnNfwc2Ah1,13143,Tolerant Algorithms for Learning with Arbitrary Covariate Shift,"We study the problem of learning under arbitrary distribution shift, where the learner is trained on a labeled set from one distribution but evaluated on a different, potentially adversarially generated test distribution. We focus on two frameworks: *PQ learning* [GKKM'20], allowing abstention on adversarially generated parts of the test distribution, and *TDS learning* [KSV'23], permitting abstention on the entire test distribution if distribution shift is detected. All prior known algorithms either rely on learning primitives that are computationally hard even for simple function classes, or end up abstaining entirely even in the presence of a tiny amount of distribution shift.
   
   We address both these challenges for natural function classes, including intersections of halfspaces and decision trees, and standard training distributions, including Gaussians. For PQ learning, we give efficient learning algorithms, while for TDS learning, our algorithms can tolerate moderate amounts of distribution shift. At the core of our approach is an improved analysis of spectral outlier-removal techniques from learning with nasty noise. 
   Our analysis can (1) handle arbitrarily large fraction of outliers, which is crucial for handling arbitrary distribution shifts, and (2) obtain stronger bounds on polynomial moments of the distribution after outlier removal, yielding new insights into polynomial regression under distribution shifts. Lastly, our techniques lead to novel results for tolerant *testable learning* [RV'23], and learning with nasty noise.",Surbhi Goel; Abhishek Shetty; Konstantinos Stavropoulos; Arsen Vasilyan,~Surbhi_Goel1; ~Abhishek_Shetty1; ~Konstantinos_Stavropoulos1; ~Arsen_Vasilyan1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/c52fe2324af069b899b2e4514c1334dd932eb7f0.pdf,2024-05-15T01:13:37.162000,2024-09-25T18:13:49.910000,2024-11-06T06:19:15.386000,https://openreview.net/forum?id=LnNfwc2Ah1,"University of Pennsylvania; Massachusetts Institute of Technology; The University of Texas at Austin; Massachusetts Institute of Technology; University of California, Berkeley"
1322,SxRblm9aMs,SxRblm9aMs,13057,Are Graph Neural Networks Optimal Approximation Algorithms?,"In this work we design graph neural network architectures that capture optimal
approximation algorithms for a large class of combinatorial optimization problems,
using powerful algorithmic tools from semidefinite programming (SDP). Concretely, we prove that polynomial-sized message-passing algorithms can represent
the most powerful polynomial time algorithms for Max Constraint Satisfaction
Problems assuming the Unique Games Conjecture. We leverage this result to
construct efficient graph neural network architectures, OptGNN, that obtain high quality approximate solutions on landmark combinatorial optimization problems
such as Max-Cut, Min-Vertex-Cover, and Max-3-SAT. Our approach achieves
strong empirical results across a wide range of real-world and synthetic datasets
against solvers and neural baselines. Finally, we take advantage of OptGNN’s
ability to capture convex relaxations to design an algorithm for producing bounds
on the optimal solution from the learned embeddings of OptGNN.",Morris Yau; Nikolaos Karalias; Eric Hanqing Lu; Jessica Xu; Stefanie Jegelka,~Morris_Yau3; ~Nikolaos_Karalias1; ~Eric_Hanqing_Lu1; ~Jessica_Xu1; ~Stefanie_Jegelka3,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,graph_neural_networks,/pdf/651568ff30d22d475ca6e3ed3d7fe34d455359df.pdf,2024-05-15T00:49:22.106000,2024-09-25T18:13:47.249000,2024-11-06T06:19:14.777000,https://openreview.net/forum?id=SxRblm9aMs,Massachusetts Institute of Technology; Harvard University; Technical University of Munich; Massachusetts Institute of Technology
1324,dA7hUm4css,dA7hUm4css,13052,One-Shot Safety Alignment for Large Language Models via Optimal Dualization,"The growing safety concerns surrounding large language models raise an urgent need to align them with diverse human preferences to simultaneously enhance their helpfulness and safety. A promising approach is to enforce safety constraints through Reinforcement Learning from Human Feedback (RLHF). For such constrained RLHF, typical Lagrangian-based primal-dual policy optimization methods are computationally expensive and often unstable. This paper presents a perspective of dualization that  reduces constrained alignment to an equivalent unconstrained alignment problem. We do so by pre-optimizing a smooth and convex dual function that has a closed form. This shortcut eliminates the need for cumbersome primal-dual policy iterations, greatly reducing the computational burden and improving training stability. Our strategy leads to two practical algorithms in model-based and preference-based settings (MoCAN and PeCAN, respectively). A broad range of experiments demonstrate the effectiveness and merits of our algorithms.",Xinmeng Huang; Shuo Li; Edgar Dobriban; Osbert Bastani; Hamed Hassani; Dongsheng Ding,~Xinmeng_Huang1; ~Shuo_Li7; ~Edgar_Dobriban2; ~Osbert_Bastani1; ~Hamed_Hassani2; ~Dongsheng_Ding1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/fdc7e583d336527af558bd637debab384dcf6c50.pdf,2024-05-15T00:48:06.248000,2024-09-25T18:13:47.071000,2024-11-06T06:19:14.659000,https://openreview.net/forum?id=dA7hUm4css,University of Pennsylvania; Amazon; University of Pennsylvania; University of Pennsylvania; University of Pennsylvania; University of Pennsylvania
