,authorid,preferred_name,institution,position,department,start,end,city,country,institution_map
47,~Hongliu_Li2,False,Hong Kong Polytechnic University,Postdoc,,2023.0,2026.0,Hong Kong,CN,Hong Kong Polytechnic University
48,~Fei_Zhu1,True,"Centre for Artificial Intelligence and Robotics Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",Assistant Professor,,2023.0,,,CN,University of Chinese Academy of Sciences
49,~Haifeng_Chen1,True,NEC-Labs,Researcher,,2004.0,2025.0,,US,"NEC Laboratories, America"
50,~Baohao_Liao1,True,University of Amsterdam,PhD student,,2022.0,2026.0,Amsterdam,NL,University of Amsterdam
52,~Tianhang_Wang1,True,Tongji University,PhD student,,2021.0,2026.0,Shanghai,CN,Tongji University
53,~Xuyao_Wang1,True,Peking University,Intern,,2024.0,,Beijing,CN,Peking University
54,~Xuyao_Wang1,True,Nankai University,Undergrad student,,2020.0,2024.0,Tianjin,CN,Nankai University
55,~Jacob_Steinhardt1,False,University of California Berkeley,Assistant Professor,,2019.0,,,,"University of California, Berkeley"
56,~Namil_Kim1,False,Naver Labs,Researcher,,2016.0,,Seongnam-si,KR,NAVER AI Lab
57,~Yue_Huang1,False,Xiamen University,Full Professor,,2022.0,,Xiamen,CN,Xiamen University
58,~Chenwang_Wu1,True,Hong Kong Baptist University,Postdoc,,2024.0,2025.0,,HK,Hong Kong Baptist University
59,~Chenwang_Wu1,True,University of Science and Technology of China,PhD student,,2022.0,2024.0,Hefei,CN,University of Science and Technology of China
61,~Jingwen_Ye1,False,National University of Singapore,Postdoc,,2021.0,2025.0,,CN,National University of Singapore
62,~Atsuki_Yamaguchi1,True,University of Sheffield,PhD student,,2023.0,,,GB,University of Sheffield
64,~Jianyu_Wu2,False,Shanghai Artificial Intelligence Laboratory,Intern,,2024.0,,,CN,Shanghai Artificial Intelligence Laboratory
65,~Jianyu_Wu2,False,Beijing University of Aeronautics and Astronautics,Undergrad student,,2021.0,2025.0,,CN,Beihang University
67,~Hojoon_Lee1,True,Korea Advanced Institute of Science and Technology,PhD student,,2022.0,2025.0,,KR,Korea Advanced Institute of Science and Technology
68,~Hojoon_Lee1,True,Sony AI,Intern,,2024.0,2024.0,,JP,"Sony Group Corporation, Tokyo"
70,~Yuxin_Chen9,True,National University of Singapore,MS student,,2023.0,2024.0,,,National University of Singapore
71,~Kun_Jin1,True,Google,Researcher,,2024.0,2024.0,Mountain View,US,Google
72,~Kun_Jin1,True,ByteDance Inc.,Researcher,,2023.0,2024.0,,US,ByteDance Inc.
73,~Brian_Mac_Namee1,False,University College Dublin,Associate Professor,,2015.0,,Dublin,IE,University College Dublin
74,~Hung-yi_Lee2,False,National Taiwan University,Full Professor,,2023.0,,Taipei,TW,National Taiwan University
75,~Rafael_Mosquera1,True,Universidad de Los Andes,MS student,,2021.0,2025.0,Bogota,CO,Universidad de Los Andes
76,~Xiang_Bai1,True,Huazhong University of Science and Technology,Full Professor,,2018.0,2025.0,Wuhan,CN,Huazhong University of Science and Technology
77,~Jake_Snell1,False,Princeton University,Postdoc,,2022.0,,Princeton,US,Princeton University
78,~Minghao_Zhu2,True,Tongji University,PhD student,,2023.0,,Shanghai,CN,Tongji University
79,~Hans_Op_de_Beeck1,True,KU Leuven,Principal Researcher,,2009.0,,Leuven,BE,KU Leuven
80,~Yuanqing_Wang1,True,New York University,Postdoc,,2023.0,,,,New York University
81,~Yi-Xuan_Sun1,False,Ant Group,Researcher,,2023.0,2024.0,Hangzhou,CN,Ant Group
82,~Haihong_Wu2,True,University of Science and Technology of China,MS student,,2023.0,2026.0,,,University of Science and Technology of China
83,~Joanna_Waczynska1,True,Jagiellonian University Cracow,PhD student,,2023.0,,Kraków,PL,Jagiellonian University
84,~Michael_K_Kopp1,True,Nirmata Research LLP,Principal Researcher,,2024.0,,,KY,Nirmata Research LLP
85,~Peter_Spirtes1,True,Carnegie Mellon University,Full Professor,,1985.0,,Pittsburgh,US,Carnegie Mellon University
86,~Julian_Zimmert1,True,Google,Postdoc,,2020.0,,,DE,Google
88,~Zhen_Xing2,True,Fudan University,PhD student,,2020.0,2025.0,Yangpu,CN,Fudan University
89,~Jingwen_Leng1,True,Shanghai Jiao Tong University,Full Professor,,2023.0,,Shanghai,CN,Shanghai Jiao Tong University
90,~Tai_D._Nguyen1,True,Singapore Management University,Postdoc,,2024.0,2025.0,Singapore,SG,Singapore Management University
91,~Jiahuan_Cao1,True,South China University of Technology,MS student,,2023.0,2026.0,Guangzhou,CN,South China University of Technology
92,~Zac_Bi1,True,Alibaba Group,Researcher,,2021.0,2024.0,HangZhou,CN,Alibaba Group
93,~Zeyu_Lei1,True,Sichuan University,Undergrad student,,2021.0,2025.0,Chengdu,CN,Sichuan University
94,~Zhenguo_Li1,True,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",Full Professor,,2023.0,,Hong Kong,HK,Hong Kong University of Science and Technology(Guangzhou)
95,~Zhenguo_Li1,True,Huawei Noah's Ark Lab,Principal Researcher,,2013.0,,Hong Kong,HK,Huawei Noah's Ark Lab
97,~Yiquan_Li2,False,University of Wisconsin - Madison,Undergrad student,,2023.0,2025.0,,US,University of Wisconsin - Madison
98,~Haris_I._Sair1,True,Johns Hopkins University School of Medicine,Associate Professor,,2017.0,,Baltimore,,Johns Hopkins University
99,~Haris_I._Sair1,True,Johns Hopkins University,Faculty,,2017.0,,Baltimore,,Johns Hopkins University
100,~Hao_Wang80,True,Sichuan University,Associate Professor,,2019.0,,Chengdu,CN,Sichuan University
101,~Mihalis_Nicolaou1,False,The Cyprus Institute,Associate Professor,,2024.0,,Nicosia,CY,The Cyprus Institute
102,~Vipul_Gupta3,True,Pennsylvania State University,PhD student,,2021.0,,,US,Pennsylvania State University
103,~Ruifeng_Xu1,False,Harbin Institute of Technology,Full Professor,,2009.0,,Shenzhen,CN,Harbin Institute of Technology
104,~Zhiwei_Deng3,False,Google DeepMind,Research Scientist,,2022.0,,,US,Google
105,~Reed_Phillips1,True,Purdue University,PhD student,,2022.0,,West Lafayette,US,Purdue University
106,~Boyan_Li2,True,The Hong Kong University of Science and Technology,PhD student,,2024.0,,Guangzhou,CN,Hong Kong University of Science and Technology(Guangzhou)
107,~Boyan_Li2,True,The Hong Kong University of Science and Technology,Intern,,2023.0,2024.0,Guangzhou,CN,Hong Kong University of Science and Technology(Guangzhou)
108,~Guansong_Pang1,False,Singapore Management University,Assistant Professor,,2022.0,,Singapore ,SG,Singapore Management University
109,~Yifan_Sun1,False,"State University of New York, Stony Brook",Assistant Professor,,2020.0,2025.0,,,Stony Brook University
110,~Linglan_Zhao1,True,Tencent Youtu Lab,Researcher,,2024.0,,Shanghai,CN,Tencent Robotics X Lab
111,~Elizabeth_M._Daly1,False,IBM Research,Research Scientist,,2007.0,,,,International Business Machines
112,~Chanwoo_Kim3,True,"Department of Computer Science, University of Washington",PhD student,,2021.0,,,,University of Washington
113,~Yuan_Xie5,False,East China Normal University,Full Professor,,2019.0,,Shanghai,CN,East China Normal University
114,~Xiaoshuai_Zhang1,True,Hillbot,Researcher,,2024.0,,,US,Hillbot
115,~Xiaoshuai_Zhang1,True,"University of California, San Diego",PhD student,,2019.0,2024.0,,US,"University of California, San Diego"
116,~Michelle_Hedlund1,True,Stanford University,PhD student,,2021.0,,Stanford,US,Stanford University
117,~Chun_Chen1,,Zhejiang University,Full Professor,,1995.0,2065.0,Hangzhou,CN,Zhejiang University
118,~Yifu_QIU1,True,"University of Edinburgh, University of Edinburgh",PhD student,,2022.0,2026.0,,GB,University of Edinburgh
119,~Qian_Yu5,True,"University of California, Santa Barbara",Assistant Professor,,2023.0,,,,"University of California, Santa Barbara"
120,~John_E._Hopcroft1,,"Department of Computer Science, Cornell University",Full Professor,,1972.0,,,US,Cornell University
121,~Yousef_Sadegheih1,True,Universität Regensburg,PhD student,,2023.0,2027.0,Regensburg,DE,Universität Regensburg
123,~MingboHong1,False,Megvii Technology Inc.,Researcher,,2022.0,2025.0,,CN,Megvii Technology Inc.
124,~Lequan_Yu1,True,The University of Hong Kong,Assistant Professor,,2021.0,,,HK,University of Hong Kong
125,~Nicolás_Astorga1,False,University of Cambridge,PhD student,,2023.0,,,,University of Cambridge
126,~Haihong_E1,True,Beijing University of Post and Telecommunication,Full Professor,,2021.0,,Beijing,CN,Beijing University of Posts and Telecommunications
127,~Zhaoxiang_Zhang3,True,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",Full Professor,,2015.0,,Beijing,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
128,~Taihei_Oki1,True,Hokkaido University,Specially Appointed Associate Professor,,2024.0,,,JP,Hokkaido University
129,~Taihei_Oki1,True,The University of Tokyo,Project Research Associate,,2021.0,2024.0,,JP,The University of Tokyo
130,~Bernal_Jimenez_Gutierrez1,False,The Ohio State University,PhD student,,2019.0,,Columbus,US,The Ohio State University
132,~Yue_Yu2,True,NVIDIA,Research Intern,,2024.0,2024.0,,US,NVIDIA
133,~Yue_Yu2,True,Meta,Research Intern,,2024.0,2024.0,,US,Meta
134,~Yue_Yu2,True,Georgia Institute of Technology,PhD student,,2019.0,2024.0,,US,Georgia Institute of Technology
135,~Yutao_Ma1,True,University of Chicago,PhD student,,2018.0,,Chicago,US,University of Chicago
136,~Kevin_Rojas1,True,Georgia Institute of Technology,PhD student,,2022.0,,Atlanta,US,Georgia Institute of Technology
138,~Bryan_M._Li1,True,University of Edinburgh,Research Associate,,2024.0,2025.0,Edinburgh,GB,University of Edinburgh
139,~Bryan_M._Li1,True,University of Edinburgh,PhD student,,2020.0,2025.0,Edinburgh,GB,University of Edinburgh
140,~Bryan_M._Li1,True,Microsoft,Research Intern,,2024.0,2024.0,Redmond,US,Microsoft
141,~Bryan_M._Li1,True,Alan Turing Institute,Researcher,,2023.0,2024.0,London,GB,Alan Turing Institute
142,~Kurt_Keutzer1,True,University of California Berkeley,Full Professor,,1998.0,,Berkeley,US,"University of California, Berkeley"
143,~Anna_Korba2,False,Ensae ParisTech,Assistant Professor,,2020.0,,,FR,Institut Polytechnique de Paris
144,~Chenhang_HE1,True,The Hong Kong Polytechnic University,Assistant Professor,,2023.0,,,HK,Hong Kong Polytechnic University
146,~Alon_Albalak1,True,SynthLabs,Researcher,,2024.0,2025.0,,US,SynthLabs
147,~Alon_Albalak1,True,"University of California, Santa Barbara",PhD student,,2018.0,2024.0,,US,"University of California, Santa Barbara"
148,~Niki_Amini-Naieni2,False,University of Oxford,PhD student,,2022.0,,Oxford,GB,University of Oxford
149,~Hao_Jiang13,True,Alibaba Group,Researcher,,2020.0,,,CN,Alibaba Group
150,~Guang_Yang12,True,The Chinese University of Hong Kong,Postdoc,,2024.0,,Hong Kong,HK,Chinese University of Hong Kong
151,~Guang_Yang12,True,City University of Hong Kong,PhD student,,2020.0,2024.0,Hong Kong,HK,City University of Hong Kong
152,~Lukas_Klein1,True,ETHZ - ETH Zurich,PhD student,,2022.0,,,CH,ETH Zurich
153,~Lukas_Klein1,True,German Cancer Research Center,PhD student,,2021.0,,,DE,Deutsches Krebsforschungszentrum
154,~Amit_Sinha1,True,"McGill University, McGill University",PhD student,,2021.0,2026.0,,,McGill University
155,~David_Alvarez-Melis1,True,"School of Engineering and Applied Sciences, Harvard University",Assistant Professor,,2023.0,,Cambridge,US,Harvard University
156,~David_Alvarez-Melis1,True,Microsoft,Senior Researcher,,2021.0,,Cambridge,US,Microsoft
157,~Qiaomin_Xie1,True,University of Wisconsin - Madison,Assistant Professor,,2021.0,,,US,University of Wisconsin - Madison
158,~Daniel_Paleka1,True,"Department of Computer Science, ETHZ - ETH Zurich",PhD student,,2022.0,,,CH,ETH Zurich
159,~Hao_WU21,True,University of Waterloo,Postdoc,,2024.0,2025.0,,CA,University of Waterloo
160,~Hao_WU21,True,Copenhagen University,Postdoc,,2023.0,2024.0,,AU,University of Copenhagen
161,~Jiawei_Zhang9,True,University of Chicago,PhD student,,2024.0,2026.0,,US,University of Chicago
162,~Jiawei_Zhang9,True,"University of Illinois, Urbana Champaign",PhD student,,2023.0,2024.0,Urbana,US,"Department of Computer Science, University of Illinois at Urbana Champaign"
163,~Rylan_Schaeffer2,True,Google,Researcher,,2024.0,,,US,Google
164,~Rylan_Schaeffer2,True,"Computer Science Department, Stanford University",PhD student,,2021.0,,,US,Stanford University
165,~Rylan_Schaeffer2,True,Google,Intern,,2024.0,2024.0,,,Google
166,~Rylan_Schaeffer2,True,Meta Generative AI,Intern,,2023.0,2024.0,,,Meta GenAI
167,~Sylvia_Cremer1,True,ISTA (Institute of Science and Technology Austria),Full Professor,,2015.0,,Klosterneuburg,AT,Institute of Science and Technology Austria
168,~Yuyang_Huo1,True,Nankai University,PhD student,,2020.0,2026.0,,,Nankai University
169,~Kyurae_Kim1,False,University of Pennsylvania,PhD student,,2022.0,2027.0,Philadelphia,US,University of Pennsylvania
170,~Changwei_Wang2,False,Qilu University of Technology (Shandong Academy of Sciences),Associate Professor,,2024.0,,,CN,Qilu University of Technology
171,~Changwei_Wang2,False,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",PhD student,,2019.0,2024.0,,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
172,~Changwei_Wang2,False,University of the Chinese Academy of Sciences,PhD student,,2019.0,2024.0,,CN,University of Chinese Academy of Sciences
173,~Yuyang_Ji3,True,Nanjing University,MS student,,2023.0,,Nanjing,CN,Nanjing University
174,~Hongliang_Yan1,,Shanghai Artificial Intelligence Lab,Postdoc,,2022.0,,Harbin,CN,Shanghai Artificial Intelligence Laboratory
176,~Lin_Wang15,True,Northwest University,Associate Professor,,2018.0,2025.0,Xi'an,CN,Northwest University
177,~Jitendra_Malik2,False,Facebook,Director of Research,,2018.0,,Menlo Park,US,Meta
178,~Jitendra_Malik2,False,University of California Berkeley,Full Professor,,1985.0,,Berkeley,US,"University of California, Berkeley"
179,~Xin_Ma5,True,ENN Group,Researcher,,2021.0,,Beijing,CN,ENN Group
180,~Markus_Freitag2,False,Google,Researcher,,2017.0,,,US,Google
181,~Zhengling_Qi1,True,George Washington University,Assistant Professor,,2019.0,,,US,George Washington University
182,~Qiang_Xu1,False,The Chinese University of Hong Kong,Full Professor,,2005.0,,,HK,Chinese University of Hong Kong
183,~Han_Yu1,False,Nanyang Technological University,Associate Professor,,2024.0,,Singapore,SG,Nanyang Technological University
184,~Vsevolod_Viliuga1,True,Science for Life Laboratory,PhD student,,2024.0,2029.0,Stockholm,SE,Science for Life Laboratory
185,~Vsevolod_Viliuga1,True,Ruprecht-Karls-Universität Heidelberg,MS student,,2022.0,2024.0,Heidelberg,DE,Heidelberg University
186,~Liwen_Zhu1,True,Tencent AI Lab,Researcher,,2023.0,,,CN,Tencent
187,~Yitong_Sun2,True,Beihang University,MS student,,2024.0,,Haidian,CN,Beihang University
188,~Yitong_Sun2,True,Beihang University,Undergrad student,,2020.0,2024.0,Haidian,CN,Beihang University
189,~Zhaomin_Wu1,True,National University of Singapore,Postdoc,,2024.0,,,SG,National University of Singapore
190,~Zhaomin_Wu1,True,"national university of singaore, National University of Singapore",PhD student,,2019.0,2024.0,,SG,National University of Singapore
192,~Shuo_Liu7,True,National University of Singapore,Intern,,2024.0,2025.0,Singapore,SG,National University of Singapore
193,~Shuo_Liu7,True,East China Normal University,MS student,,2022.0,2025.0,Shanghai,CN,East China Normal University
194,~Shan_Tan1,True,Huazhong University of Science and Technology,Full Professor,,2011.0,,Wuhan,CN,Huazhong University of Science and Technology
196,~Shengyuan_Hu2,True,Carnegie Mellon University,PhD student,,2020.0,2025.0,Pittsburgh,US,Carnegie Mellon University
197,~Seongyun_Lee1,True,Korea Advanced Institute of Science & Technology,MS student,,2024.0,2026.0,Seoul,KR,Korea Advanced Institute of Science and Technology
198,~Seongyun_Lee1,True,Korea University,Undergrad student,,2020.0,2024.0,Seoul,KR,Korea University
199,~Haeyeon_Kim1,True,Korea Advanced Institute of Science & Technology,PhD student,,2022.0,2025.0,Daejeon,KR,Korea Advanced Institute of Science and Technology
200,~Taira_Tsuchiya1,True,RIKEN,Visiting Scientist,,2024.0,,,JP,RIKEN
201,~Taira_Tsuchiya1,True,The University of Tokyo,Assistant Professor,,2023.0,,,JP,The University of Tokyo
202,~Liutao_Yu1,True,Peng Cheng Laboratory,Engineer,,2020.0,,,,Peng Cheng Laboratory
203,~Jinliang_Deng1,True,Hong Kong University of Science and Technology,Postdoc,,2024.0,,,HK,Hong Kong University of Science and Technology(Guangzhou)
204,~Jinliang_Deng1,True,University of Technology Sydney,PhD student,,2019.0,2024.0,,AU,University of Technology Sydney
205,~Donatien_Dubuc1,True,IFP Energies Nouvelles,Researcher,,2019.0,,,FR,IFP Energies Nouvelles
206,~Zhaoyu_Fan1,True,Zhejiang University,MS student,,2023.0,2026.0,,CN,Zhejiang University
207,~Andrei_Barbu3,True,Massachusetts Institute of Technology,Researcher,,2016.0,,,US,Massachusetts Institute of Technology
208,~Xin_Geng1,False,"Southeast University, China",Professor,,2008.0,,Nanjing,CN,Southeast University
209,~Seyed-Mohsen_Moosavi-Dezfooli1,False,Apple Inc.,Researcher,,2024.0,,,CH,Apple
210,~Seyed-Mohsen_Moosavi-Dezfooli1,False,"Imperial College London, Imperial College London",Assistant Professor,,2022.0,2024.0,,GB,Imperial College London
211,~Mikhail_Mozikov1,True,Moscow State Institute of Steel and Alloys,PhD student,,2023.0,2026.0,Moscow,RU,Moscow State Institute of Steel and Alloys
212,~Shiqi_Wang1,True,City University of Hong Kong,Associate Professor,,2023.0,,Hong Kong,HK,City University of Hong Kong
213,~Jae_Sung_Park2,True,University of Washington,PhD student,,2019.0,2025.0,Seattle,US,University of Washington
214,~Stephanie_Wang4,True,"Department of Computer Science, University of Washington",Assistant Professor,,2024.0,,,,University of Washington
215,~Dan_Qiao1,True,"UC San Diego, University of California, San Diego",PhD student,,2024.0,2026.0,San Diego,US,"University of California, San Diego"
216,~Dan_Qiao1,True,", University of California, Santa Barbara",PhD student,,2021.0,2024.0,Santa Barbara,US,"University of California, Santa Barbara"
217,~Jia-Bin_Huang1,True,"University of Maryland, College Park",Associate Professor,,2022.0,,College Park,US,"University of Maryland, College Park"
218,~Marcus_A_Brubaker1,False,Google DeepMind,Researcher,,2024.0,,Toronto,CA,Google
219,~Marcus_A_Brubaker1,False,York University,Associate Professor,,2023.0,,Toronto,CA,York University
220,~Marcus_A_Brubaker1,False,Samsung AI,Visiting Professor,,2021.0,2024.0,Toronto,CA,Samsung AI
221,~Marcus_A_Brubaker1,False,Borealis AI,Academic Advisor,,2020.0,2024.0,Toronto,CA,Borealis AI
224,~Jian_Chen13,True,Carnegie Mellon University,MS student,,2023.0,2024.0,Pittsburgh,US,Carnegie Mellon University
225,~Haizhao_Dai1,True,ShanghaiTech University,PhD student,,2023.0,2028.0,Shanghai,CN,ShanghaiTech University
226,~Ziming_Liu2,True,Massachusetts Institute of Technology,PhD student,,2021.0,,,,Massachusetts Institute of Technology
227,~Fanfu_Wang1,True,Lanzhou University,Undergrad student,,2022.0,2026.0,,CN,Lanzhou University
228,~Patrick_Pynadath1,True,", Purdue University",PhD student,,2023.0,,West Lafayette,US,Purdue University
229,~Xin_Zhang46,True,Chinese Academy of Sciences,Assistant Professor,,2021.0,,Beijing,CN,Institute of Automation，Chinese Academy of Sciences
231,~Drago_Plecko1,True,Columbia University,Postdoc,,2022.0,2025.0,New York,US,Columbia University
232,~Milan_Vojnovic1,False,London School of Economics,Professor,,2016.0,,,,London School of Economics
233,~Balaji_Venkatachalam1,True,Facebook,Researcher,,2024.0,,,US,Meta
234,~Balaji_Venkatachalam1,True,Google,Researcher,,2016.0,2024.0,,US,Google
235,~Junfeng_Guo2,True,"University of Maryland Institute for Advanced Computer Studies, University of Maryland, College Park",Postdoc,,2023.0,2025.0,College Park,US,"University of Maryland, College Park"
236,~Jian_Ma9,True,Ant Group,Researcher,,2016.0,,,,Ant Group
237,~Tanuja_Ganu1,True,Microsoft,Researcher,,2019.0,,Bengaluru,IN,Microsoft
238,~Neil_Thompson1,True,Massachusetts Institute of Technology,Principal Researcher,,2013.0,,,,Massachusetts Institute of Technology
239,~Sebastian_Pineda_Arango1,True,Universität Freiburg,PhD student,,2021.0,,,,University of Freiburg
240,~Hancheng_Ye1,True,"Duke University, Duke University",PhD student,,2024.0,,,US,Duke University
241,~Hancheng_Ye1,True,Massachusetts Institute of Technology,Intern,,2023.0,2024.0,,US,Massachusetts Institute of Technology
242,~Hancheng_Ye1,True,Shanghai Artificial Intelligence Laboratory,Intern,,2023.0,2024.0,,CN,Shanghai Artificial Intelligence Laboratory
243,~Selim_Furkan_Tekin1,True,"College of Computing, Georgia Institute of Technology",PhD student,,2022.0,2027.0,Atlanta,US,Georgia Institute of Technology
244,~Zizhao_Chen1,True,"Department of Computer Science, Cornell University",PhD student,,2024.0,,New York,US,Cornell University
245,~Samuel_Müller1,True,"University of Freiburg, Universität Freiburg",PhD student,,2020.0,,,DE,University of Freiburg
246,~Junwei_Liang1,False,Hong Kong University of Science and Technology,Assistant Professor,,2022.0,,,CN,Hong Kong University of Science and Technology(Guangzhou)
247,~Shohei_Kato1,True,"Nagoya Institute of Technology, Tokyo Institute of Technology",Full Professor,,2015.0,,Nagoya,JP,Tokyo Institute of Technology
248,~Zhiyuan_Zhao1,True,Georgia Institute of Technology,PhD student,,2022.0,2027.0,Atlanta,US,Georgia Institute of Technology
249,~Michelangelo_Diligenti2,False,Department of Information Engineering and Mathematical Sciences,Researcher,,2007.0,,,,Department of Information Engineering and Mathematical Sciences
250,~Michelangelo_Diligenti2,False,Google Inc.,Researcher,,2003.0,,,,Google
251,~Ying_Shen4,True,University of Illinois at Urbana-Champaign,PhD student,,2024.0,,,US,"Department of Computer Science, University of Illinois at Urbana Champaign"
253,~Ying_Shen4,True,Virginia Polytechnic Institute and State University,PhD student,,2021.0,2024.0,,US,Virginia Tech
254,~Jiaolong_Yang3,True,Microsoft,Researcher,,2016.0,,Beijing,CN,Microsoft
255,~Jialing_Cai1,True,State University of New York at Buffalo,PhD student,,2024.0,,,US,"State University of New York, Buffalo"
256,~Danying_Mo1,True,Sun Yat-Sen University,MS student,,2023.0,,Guangzhou,CN,Sun Yat-sen University
257,~Ananth_Grama1,True,Purdue University,Full Professor,,2006.0,,W. Lafayette,US,Purdue University
258,~Yi_Ma5,True,Shanxi University,Associate Professor,,2024.0,,,CN,Shanxi University
