concept	sub_concept	dim_title	reference	analysis_short
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 55 (1); Code of Practice for GPAI - Safety and Security Chapter	Implement Safety and Security Framework (Articles 53, 55; CoP SSC 1.1)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Review Safety and Security Framework at least once per year (CoP SSC 1.3)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			-
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		Code of Practice for GPAI - Copyright Chapter	Put in place copyright compliance policy (Article 53; CoP CC 1.1)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 55 (1); Code of Practice for GPAI - Safety and Security Chapter; Code of Practice for GPAI - Safety and Security Chapter	Within 2 to 15 days, depending on severity (Article 55; CoP SSC 9.3)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Signatories of the CoP, for safe reference models and similarly safe or safer models (CoP SSC Appendix 2)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk			Implement of clear reporting channels and whistleblower protections (Article 87) Signatories of the CoP commit to putting in place whistleblower protection policy (CoP SSC 8.3)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 99 (3, 4, 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk		EU AI Act, Article 52	Possibility to rebut GPAISR classification for not presenting systemic risks despite high-impact capabilities (Article 52)
deployer-supplier	deployer		EU AI Act, Article 3 (4); EU AI Act, Article 4; EU AI Act, Article 99 (3, 4, 5)	Deployer of limited-risk AI systems
deployer-supplier	deployer		EU AI Act, Article 3 (4)	Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) (Article 3)
deployer-supplier	deployer			Before putting into service or using a high-risk AI system
deployer-supplier	deployer			Disclose AI interaction; If generating synthetic content, put in place machine-readable disclosure that content is AI-generated (Article 50)
deployer-supplier	deployer			-
deployer-supplier	deployer			-
deployer-supplier	deployer		EU AI Act, Article 4	Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)
deployer-supplier	deployer			-
deployer-supplier	deployer		EU AI Act, Article 99 (3, 4, 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
deployer-supplier	deployer-of-high-risk-ai-systems		AI Act, Article 6; AI Act, Annex III; EU AI Act, Article 3 (4); EU AI Act, Article 25 (1); EU AI Act, Article 26 (1, 4); EU AI Act, Article 26 (11); EU AI Act, Article 50 (3, 4); EU AI Act, Article 86 (1); EU AI Act, Article 26 (2); EU AI Act, Article 26 (5); EU AI Act, Article 27; EU AI Act, Article 26 (6); EU AI Act, Article 26 (7); EU AI Act, Article 26 (9); EU AI Act, Article 26 (8); EU AI Act, Article 49 (3); EU AI Act, Article 26 (10); EU AI Act, Article 26 (12); EU AI Act, Article 99 (4 - 5)	Deployer of high-risk AI systems
deployer-supplier	deployer-of-high-risk-ai-systems		AI Act, Article 6; AI Act, Annex III; EU AI Act, Article 3 (4); EU AI Act, Article 25 (1)	Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) that 1) acts as a safety component of a product, or is a product itself, covered by specific Unio
deployer-supplier	deployer-of-high-risk-ai-systems			Domain-based
deployer-supplier	deployer-of-high-risk-ai-systems			Before putting into service or using a high-risk AI system
deployer-supplier	deployer-of-high-risk-ai-systems			Deployers that are public authorities / institutions must register themselves and the use of the high-risk AI system in the EU database. Systems that have not been registered in such database must not
deployer-supplier	deployer-of-high-risk-ai-systems			-
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 27	Prior to deploying high-risk AI system, deployers must conduct a fundamental rights impact assessment (FRIA) describing: intended purpose and frequency of use of the system, groups likely to be affect
deployer-supplier	deployer-of-high-risk-ai-systems			-
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 27	Deployer must notify surveillance authority of results of fundamental rights impact assessment (FRIA) (Article 27)
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 26 (11); EU AI Act, Article 50 (3, 4)	Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26)
deployer-supplier	deployer-of-high-risk-ai-systems			Deployers must monitor operation of high-risk AI system based on instructions for used provided by provider and report  to provider and market surveillance authorities should they deem the instruction
deployer-supplier	deployer-of-high-risk-ai-systems			Keep automatically generated system logs for six months; inform worker representatives prior to deploying system (Article 26)
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 26 (2)	Assign human oversight to natural persons (Article 26)
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 86 (1)	Upon request by person affected by the output of high-risk AI system and related legal impact or adverse impact on health, safety or fundamental rights, provider must clear and meaningful explanations
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 4	Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)
deployer-supplier	deployer-of-high-risk-ai-systems			Deployers must cooperate with authorities to implement regulation (Article 26)
deployer-supplier	deployer-of-high-risk-ai-systems			Deployers shall immediately inform first the provider, and then the importer or distributor and the relevant market surveillance authorities of serious incidents (Article 26)
deployer-supplier	deployer-of-high-risk-ai-systems			-
deployer-supplier	deployer-of-high-risk-ai-systems			R&D/prototyping exempt from GPAI model definition
deployer-supplier	deployer-of-high-risk-ai-systems		EU AI Act, Article 99 (4 - 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
deployer-supplier	deployer-of-general-purpose-ai-systems		EU AI Act, Article 3 (4); EU AI Act, Article 3 (66); EU AI Act, Article 50; EU AI Act, Article 4; EU AI Act, Article 99 (4 - 5)	Deployer of GPAI systems
deployer-supplier	deployer-of-general-purpose-ai-systems		EU AI Act, Article 3 (4); EU AI Act, Article 3 (66)	Natural or legal persons using a general-purpose AI system in a professional capacity (excludes personal, non-professional use). A GPAI system is based on a GPAI model and serves multiple purposes (Ar
deployer-supplier	deployer-of-general-purpose-ai-systems			System-based
deployer-supplier	deployer-of-general-purpose-ai-systems			Before putting into service or using a high-risk AI system
deployer-supplier	deployer-of-general-purpose-ai-systems		EU AI Act, Article 50	Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26) Deployers of high-risk AI system that generates or manipulates content must disclose that conte
deployer-supplier	deployer-of-general-purpose-ai-systems		EU AI Act, Article 4	Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)
deployer-supplier	deployer-of-general-purpose-ai-systems		EU AI Act, Article 99 (4 - 5)	Up to €15M or 3% of total worldwide annual turnover Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)
model-system	high-risk-ai-system		AIA Article 6(1), (2)	High-risk AI system
model-system	high-risk-ai-system		AIA Article 6(1), (2)	AI system placed on the market or put into service that 1) acts as a safety component of a product, or is a product itself, covered by specific Union harmonisation legislation (e.g., machinery, toys, 
model-system	high-risk-ai-system			Domain-based
model-system	high-risk-ai-system		AIA Article 6(1), (2); AIA Article 6(3), (4)	AI system that (a) performs a narrow procedural task; (b) improves the result of a previously completed human activity; (c) detects decision-making patterns or deviations from prior patterns and is no
model-system	general-purpose-ai-model		AIA Article 3(63); AIA Article 51(1), (2); (GL, (17))	General-purpose AI model / General-purpose AI model with systemic risks Upon Commission designation (Articles 3, 51, 52; GL, (17))
model-system	general-purpose-ai-model		AIA Article 3(65)	General-purpose AI model
model-system	general-purpose-ai-model		AIA Article 3(63); AIA Article 3(65); AIA Article 51(1), (2)	AIA Article 3(63): "'general-purpose AI model' means an AI model, including where such an AI model is trained with a large amount of data using self-supervision at scale, that displays significant gen
model-system	general-purpose-ai-model			Functional (generality + task capability)
model-system	general-purpose-ai-model		(GL, (17))	Indicative criterion. General-purpose AI model: 10²³ FLOPs plus capability to generate language, including video or text (GL, (17)) GPAI with systemic risk:  10²⁵ FLOPs (Article 51)
model-system	general-purpose-ai-model			Capabilities (generality + task range)
model-system	general-purpose-ai-model		AIA Article 3(63); AIA Article 3(65); AIA Article 51(1), (2); AIA, Article 52	R&D/prototyping exempt from GPAI model definition
model-system	general-purpose-ai-system		AIA Article 3(66)	General-purpose AI system
model-system	general-purpose-ai-system		AIA Article 3(66)	An AI system based on a general-purpose AI model which has the capability to serve a variety of purposes, both for direct use as well as for integration in other AI systems (Article 3)
model-system	general-purpose-ai-system		AIA Recital (100)	Any deployer using a GPAI system professionally (Article 50)
model-system	general-purpose-ai-system			System-based
risk	systemic-risk		AIA Article 3(2); AIA Article 3(65)	Systemic risk
risk	systemic-risk		AIA Article 3(2); AIA Article 3(65)	Risk specific to high-impact capabilities of GPAI models (Article 3)
risk	systemic-risk		AIA Article 51(1)-(2)	“a risk that is specific to the high-impact capabilities of general-purpose AI models, having a significant impact on the Union market due to their reach, or due to actual or reasonably foreseeable ne
risk	systemic-risk			Qualitative
risk	systemic-risk			Significant Union-market impact or foreseeable negative effects on protected interests (i.e., public health, safety, public security, fundamental rights, or the society as a whole) (Article 3)
risk	systemic-risk		AIA Article 51(1)-(2)	R&D/prototyping exempt from GPAI model definition
modification	substantial-modification		AIA Article 3(23)	Substantial modification
modification	substantial-modification		AIA Article 3(23); (GL, 3.2)	A change to an AI system after placing on the market / service which (a) was not planned in the initial conformity assessment and (b) affects compliance with high-risk requirements or changes the inte
modification	substantial-modification		AIA Recital (177); Article 3(23)	High-risk AI systems subject to conformity assessment (Articles 43, 47) GPAI models / GPAI models with systemic risks
modification	substantial-modification			Pre-determined post-deployment learning changes assessed at initial conformity assessment do not constitute substantial modification (Recital 128)
modification	substantial-modification			High-risk AI systems: new conformity assessment required (Art. 43); update technical documentation (Annex IV), EU database registration (Articles 49, 71) and instructions for use (Article 13) GPAI mod
incident	serious-incident		AIA Article 3(49)	Serious incident
incident	serious-incident		AIA Article 3(49)	Death, harm to health, safety, fundamental rights, or the environment (Article 3)
incident	serious-incident		AIA Article 73(1)	Incident or malfunctioning of high-risk AI systems and GPAI models with systemic risk
incident	serious-incident		AIA, Article 55(1)(c)	Incident or malfunctioning of high-risk AI systems and GPAI models with systemic risk
incident	serious-incident			High-risk systems: general, no later than 15 days; widespread infringement or serious incident, immediately and no later than 2 days; death/serious health impact, immediately and no later than 10 days
incident	serious-incident		AIA Article 73(1), (5)	High-risk AI systems: providers must report serious incidents to the market surveillance authorities of the Member States where the incident occurred (Article 73) GPAI models with systemic risk: provi
incident	serious-incident		AIA, Article 55(1)(c)	High-risk AI systems: providers must report serious incidents to the market surveillance authorities of the Member States where the incident occurred (Article 73) GPAI models with systemic risk: provi
incident	serious-incident		AIA Article 99(4); Article 101(1)	Fines up to €15k or 3% of total global turnover (Articles 99, 101)
