,Unnamed: 0,authorid,preferred_name,institution,position,department,start,end,city,country,institution_map
44,44,~Pengfei_Yao1,True,"Institute of Computing Technology, CAS",Intern,,2021.0,,,,Institute of Computing Technology
45,45,~Bhavika_Suresh_Devnani1,True,Georgia Institute of Technology,PhD student,,2024.0,,Atlanta,US,Georgia Institute of Technology
46,46,~Bhavika_Suresh_Devnani1,True,Apple,Researcher,,2022.0,2024.0,Cupertino,US,Apple
47,47,~Hongliu_Li2,False,Hong Kong Polytechnic University,Postdoc,,2023.0,2026.0,Hong Kong,CN,Hong Kong Polytechnic University
48,48,~Fei_Zhu1,True,"Centre for Artificial Intelligence and Robotics Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",Assistant Professor,,2023.0,,,CN,University of Chinese Academy of Sciences
49,49,~Haifeng_Chen1,True,NEC-Labs,Researcher,,2004.0,2025.0,,US,"NEC Laboratories, America"
50,50,~Baohao_Liao1,True,University of Amsterdam,PhD student,,2022.0,2026.0,Amsterdam,NL,University of Amsterdam
51,51,~Baohao_Liao1,True,Facebook,Intern,,2025.0,2025.0,Paris,FR,Meta
52,52,~Tianhang_Wang1,True,Tongji University,PhD student,,2021.0,2026.0,Shanghai,CN,Tongji University
53,53,~Xuyao_Wang1,True,Peking University,Intern,,2024.0,,Beijing,CN,Peking University
54,54,~Xuyao_Wang1,True,Nankai University,Undergrad student,,2020.0,2024.0,Tianjin,CN,Nankai University
55,55,~Jacob_Steinhardt1,False,University of California Berkeley,Assistant Professor,,2019.0,,,,"University of California, Berkeley"
56,56,~Namil_Kim1,False,Naver Labs,Researcher,,2016.0,,Seongnam-si,KR,NAVER AI Lab
57,57,~Yue_Huang1,False,Xiamen University,Full Professor,,2022.0,,Xiamen,CN,Xiamen University
58,58,~Chenwang_Wu1,True,Hong Kong Baptist University,Postdoc,,2024.0,2025.0,,HK,Hong Kong Baptist University
59,59,~Chenwang_Wu1,True,University of Science and Technology of China,PhD student,,2022.0,2024.0,Hefei,CN,University of Science and Technology of China
60,60,~Jingwen_Ye1,False,Monash University,Lecturer,,2025.0,,,AU,Monash University
61,61,~Jingwen_Ye1,False,National University of Singapore,Postdoc,,2021.0,2025.0,,CN,National University of Singapore
62,62,~Atsuki_Yamaguchi1,True,University of Sheffield,PhD student,,2023.0,,,GB,University of Sheffield
63,63,~Jianyu_Wu2,False,Shanghai Jiaotong University,PhD student,,2025.0,,,CN,Shanghai Jiao Tong University
64,64,~Jianyu_Wu2,False,Shanghai Artificial Intelligence Laboratory,Intern,,2024.0,,,CN,Shanghai Artificial Intelligence Laboratory
65,65,~Jianyu_Wu2,False,Beijing University of Aeronautics and Astronautics,Undergrad student,,2021.0,2025.0,,CN,Beihang University
66,66,~Hojoon_Lee1,True,Krafton AI,Intern,,2025.0,2025.0,,KR,KRAFTON
67,67,~Hojoon_Lee1,True,Korea Advanced Institute of Science and Technology,PhD student,,2022.0,2025.0,,KR,Korea Advanced Institute of Science and Technology
68,68,~Hojoon_Lee1,True,Sony AI,Intern,,2024.0,2024.0,,JP,"Sony Group Corporation, Tokyo"
69,69,~Yuxin_Chen9,True,National University of Singapore,PhD student,,2025.0,2029.0,Singapore,SG,National University of Singapore
70,70,~Yuxin_Chen9,True,National University of Singapore,MS student,,2023.0,2024.0,,,National University of Singapore
71,71,~Kun_Jin1,True,Google,Researcher,,2024.0,2024.0,Mountain View,US,Google
72,72,~Kun_Jin1,True,ByteDance Inc.,Researcher,,2023.0,2024.0,,US,ByteDance Inc.
73,73,~Brian_Mac_Namee1,False,University College Dublin,Associate Professor,,2015.0,,Dublin,IE,University College Dublin
74,74,~Hung-yi_Lee2,False,National Taiwan University,Full Professor,,2023.0,,Taipei,TW,National Taiwan University
75,75,~Rafael_Mosquera1,True,Universidad de Los Andes,MS student,,2021.0,2025.0,Bogota,CO,Universidad de Los Andes
76,76,~Xiang_Bai1,True,Huazhong University of Science and Technology,Full Professor,,2018.0,2025.0,Wuhan,CN,Huazhong University of Science and Technology
77,77,~Jake_Snell1,False,Princeton University,Postdoc,,2022.0,,Princeton,US,Princeton University
78,78,~Minghao_Zhu2,True,Tongji University,PhD student,,2023.0,,Shanghai,CN,Tongji University
79,79,~Hans_Op_de_Beeck1,True,KU Leuven,Principal Researcher,,2009.0,,Leuven,BE,KU Leuven
80,80,~Yuanqing_Wang1,True,New York University,Postdoc,,2023.0,,,,New York University
81,81,~Yi-Xuan_Sun1,False,Ant Group,Researcher,,2023.0,2024.0,Hangzhou,CN,Ant Group
82,82,~Haihong_Wu2,True,University of Science and Technology of China,MS student,,2023.0,2026.0,,,University of Science and Technology of China
83,83,~Joanna_Waczynska1,True,Jagiellonian University Cracow,PhD student,,2023.0,,Kraków,PL,Jagiellonian University
84,84,~Michael_K_Kopp1,True,Nirmata Research LLP,Principal Researcher,,2024.0,,,KY,Nirmata Research LLP
85,85,~Peter_Spirtes1,True,Carnegie Mellon University,Full Professor,,1985.0,,Pittsburgh,US,Carnegie Mellon University
86,86,~Julian_Zimmert1,True,Google,Postdoc,,2020.0,,,DE,Google
87,87,~Zhen_Xing2,True,Alibaba Group,Researcher,,2025.0,,Hangzhou,CN,Alibaba Group
88,88,~Zhen_Xing2,True,Fudan University,PhD student,,2020.0,2025.0,Yangpu,CN,Fudan University
89,90,~Jingwen_Leng1,True,Shanghai Jiao Tong University,Full Professor,,2023.0,,Shanghai,CN,Shanghai Jiao Tong University
90,91,~Tai_D._Nguyen1,True,Singapore Management University,Postdoc,,2024.0,2025.0,Singapore,SG,Singapore Management University
91,92,~Jiahuan_Cao1,True,South China University of Technology,MS student,,2023.0,2026.0,Guangzhou,CN,South China University of Technology
92,93,~Zac_Bi1,True,Alibaba Group,Researcher,,2021.0,2024.0,HangZhou,CN,Alibaba Group
93,94,~Zeyu_Lei1,True,Sichuan University,Undergrad student,,2021.0,2025.0,Chengdu,CN,Sichuan University
94,95,~Zhenguo_Li1,True,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",Full Professor,,2023.0,,Hong Kong,HK,Hong Kong University of Science and Technology(Guangzhou)
95,96,~Zhenguo_Li1,True,Huawei Noah's Ark Lab,Principal Researcher,,2013.0,,Hong Kong,HK,Huawei Noah's Ark Lab
96,97,~Yiquan_Li2,False,Northwestern University,PhD student,,2025.0,2030.0,,US,Northwestern University
97,98,~Yiquan_Li2,False,University of Wisconsin - Madison,Undergrad student,,2023.0,2025.0,,US,University of Wisconsin - Madison
98,99,~Haris_I._Sair1,True,Johns Hopkins University School of Medicine,Associate Professor,,2017.0,,Baltimore,,Johns Hopkins University
99,100,~Haris_I._Sair1,True,Johns Hopkins University,Faculty,,2017.0,,Baltimore,,Johns Hopkins University
100,101,~Hao_Wang80,True,Sichuan University,Associate Professor,,2019.0,,Chengdu,CN,Sichuan University
101,102,~Mihalis_Nicolaou1,False,The Cyprus Institute,Associate Professor,,2024.0,,Nicosia,CY,The Cyprus Institute
102,103,~Vipul_Gupta3,True,Pennsylvania State University,PhD student,,2021.0,,,US,Pennsylvania State University
103,104,~Ruifeng_Xu1,False,Harbin Institute of Technology,Full Professor,,2009.0,,Shenzhen,CN,Harbin Institute of Technology
104,105,~Zhiwei_Deng3,False,Google DeepMind,Research Scientist,,2022.0,,,US,Google
105,106,~Reed_Phillips1,True,Purdue University,PhD student,,2022.0,,West Lafayette,US,Purdue University
106,107,~Boyan_Li2,True,The Hong Kong University of Science and Technology,PhD student,,2024.0,,Guangzhou,CN,Hong Kong University of Science and Technology(Guangzhou)
107,108,~Boyan_Li2,True,The Hong Kong University of Science and Technology,Intern,,2023.0,2024.0,Guangzhou,CN,Hong Kong University of Science and Technology(Guangzhou)
108,109,~Guansong_Pang1,False,Singapore Management University,Assistant Professor,,2022.0,,Singapore ,SG,Singapore Management University
109,110,~Yifan_Sun1,False,"State University of New York, Stony Brook",Assistant Professor,,2020.0,2025.0,,,Stony Brook University
110,111,~Linglan_Zhao1,True,Tencent Youtu Lab,Researcher,,2024.0,,Shanghai,CN,Tencent Robotics X Lab
111,112,~Elizabeth_M._Daly1,False,IBM Research,Research Scientist,,2007.0,,,,International Business Machines
112,113,~Chanwoo_Kim3,True,"Department of Computer Science, University of Washington",PhD student,,2021.0,,,,University of Washington
113,114,~Yuan_Xie5,False,East China Normal University,Full Professor,,2019.0,,Shanghai,CN,East China Normal University
114,115,~Xiaoshuai_Zhang1,True,Hillbot,Researcher,,2024.0,,,US,Hillbot
115,116,~Xiaoshuai_Zhang1,True,"University of California, San Diego",PhD student,,2019.0,2024.0,,US,"University of California, San Diego"
116,117,~Michelle_Hedlund1,True,Stanford University,PhD student,,2021.0,,Stanford,US,Stanford University
117,118,~Chun_Chen1,,Zhejiang University,Full Professor,,1995.0,2065.0,Hangzhou,CN,Zhejiang University
118,119,~Yifu_QIU1,True,"University of Edinburgh, University of Edinburgh",PhD student,,2022.0,2026.0,,GB,University of Edinburgh
119,120,~Qian_Yu5,True,"University of California, Santa Barbara",Assistant Professor,,2023.0,,,,"University of California, Santa Barbara"
120,121,~John_E._Hopcroft1,,"Department of Computer Science, Cornell University",Full Professor,,1972.0,,,US,Cornell University
121,123,~Yousef_Sadegheih1,True,Universität Regensburg,PhD student,,2023.0,2027.0,Regensburg,DE,Universität Regensburg
122,124,~MingboHong1,False,University of Twente,PhD student,,2025.0,2029.0,,NL,University of Twente
123,125,~MingboHong1,False,Megvii Technology Inc.,Researcher,,2022.0,2025.0,,CN,Megvii Technology Inc.
124,126,~Lequan_Yu1,True,The University of Hong Kong,Assistant Professor,,2021.0,,,HK,University of Hong Kong
125,127,~Nicolás_Astorga1,False,University of Cambridge,PhD student,,2023.0,,,,University of Cambridge
126,128,~Haihong_E1,True,Beijing University of Post and Telecommunication,Full Professor,,2021.0,,Beijing,CN,Beijing University of Posts and Telecommunications
127,129,~Zhaoxiang_Zhang3,True,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",Full Professor,,2015.0,,Beijing,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
128,130,~Taihei_Oki1,True,Hokkaido University,Specially Appointed Associate Professor,,2024.0,,,JP,Hokkaido University
129,131,~Taihei_Oki1,True,The University of Tokyo,Project Research Associate,,2021.0,2024.0,,JP,The University of Tokyo
130,132,~Bernal_Jimenez_Gutierrez1,False,The Ohio State University,PhD student,,2019.0,,Columbus,US,The Ohio State University
131,133,~Yue_Yu2,True,Meta,Researcher,,2025.0,,Menlo Park,US,Meta
132,134,~Yue_Yu2,True,NVIDIA,Research Intern,,2024.0,2024.0,,US,NVIDIA
133,135,~Yue_Yu2,True,Meta,Research Intern,,2024.0,2024.0,,US,Meta
134,136,~Yue_Yu2,True,Georgia Institute of Technology,PhD student,,2019.0,2024.0,,US,Georgia Institute of Technology
135,137,~Yutao_Ma1,True,University of Chicago,PhD student,,2018.0,,Chicago,US,University of Chicago
136,138,~Kevin_Rojas1,True,Georgia Institute of Technology,PhD student,,2022.0,,Atlanta,US,Georgia Institute of Technology
137,139,~Bryan_M._Li1,True,Imperial College London,Encode Fellow,,2025.0,,London,GB,Imperial College London
138,140,~Bryan_M._Li1,True,University of Edinburgh,Research Associate,,2024.0,2025.0,Edinburgh,GB,University of Edinburgh
139,141,~Bryan_M._Li1,True,University of Edinburgh,PhD student,,2020.0,2025.0,Edinburgh,GB,University of Edinburgh
140,142,~Bryan_M._Li1,True,Microsoft,Research Intern,,2024.0,2024.0,Redmond,US,Microsoft
141,143,~Bryan_M._Li1,True,Alan Turing Institute,Researcher,,2023.0,2024.0,London,GB,Alan Turing Institute
142,144,~Kurt_Keutzer1,True,University of California Berkeley,Full Professor,,1998.0,,Berkeley,US,"University of California, Berkeley"
143,145,~Anna_Korba2,False,Ensae ParisTech,Assistant Professor,,2020.0,,,FR,Institut Polytechnique de Paris
144,146,~Chenhang_HE1,True,The Hong Kong Polytechnic University,Assistant Professor,,2023.0,,,HK,Hong Kong Polytechnic University
145,147,~Alon_Albalak1,True,Lila Sciences,Researcher,,2025.0,,,US,Lila Sciences
146,148,~Alon_Albalak1,True,SynthLabs,Researcher,,2024.0,2025.0,,US,SynthLabs
147,149,~Alon_Albalak1,True,"University of California, Santa Barbara",PhD student,,2018.0,2024.0,,US,"University of California, Santa Barbara"
148,150,~Niki_Amini-Naieni2,False,University of Oxford,PhD student,,2022.0,,Oxford,GB,University of Oxford
149,151,~Hao_Jiang13,True,Alibaba Group,Researcher,,2020.0,,,CN,Alibaba Group
150,152,~Guang_Yang12,True,The Chinese University of Hong Kong,Postdoc,,2024.0,,Hong Kong,HK,Chinese University of Hong Kong
151,153,~Guang_Yang12,True,City University of Hong Kong,PhD student,,2020.0,2024.0,Hong Kong,HK,City University of Hong Kong
152,156,~Lukas_Klein1,True,ETHZ - ETH Zurich,PhD student,,2022.0,,,CH,ETH Zurich
153,157,~Lukas_Klein1,True,German Cancer Research Center,PhD student,,2021.0,,,DE,Deutsches Krebsforschungszentrum
154,158,~Amit_Sinha1,True,"McGill University, McGill University",PhD student,,2021.0,2026.0,,,McGill University
155,159,~David_Alvarez-Melis1,True,"School of Engineering and Applied Sciences, Harvard University",Assistant Professor,,2023.0,,Cambridge,US,Harvard University
156,160,~David_Alvarez-Melis1,True,Microsoft,Senior Researcher,,2021.0,,Cambridge,US,Microsoft
157,161,~Qiaomin_Xie1,True,University of Wisconsin - Madison,Assistant Professor,,2021.0,,,US,University of Wisconsin - Madison
158,162,~Daniel_Paleka1,True,"Department of Computer Science, ETHZ - ETH Zurich",PhD student,,2022.0,,,CH,ETH Zurich
159,163,~Hao_WU21,True,University of Waterloo,Postdoc,,2024.0,2025.0,,CA,University of Waterloo
160,164,~Hao_WU21,True,Copenhagen University,Postdoc,,2023.0,2024.0,,AU,University of Copenhagen
161,165,~Jiawei_Zhang9,True,University of Chicago,PhD student,,2024.0,2026.0,,US,University of Chicago
162,166,~Jiawei_Zhang9,True,"University of Illinois, Urbana Champaign",PhD student,,2023.0,2024.0,Urbana,US,"Department of Computer Science, University of Illinois at Urbana Champaign"
163,167,~Rylan_Schaeffer2,True,Google,Researcher,,2024.0,,,US,Google
164,168,~Rylan_Schaeffer2,True,"Computer Science Department, Stanford University",PhD student,,2021.0,,,US,Stanford University
165,169,~Rylan_Schaeffer2,True,Google,Intern,,2024.0,2024.0,,,Google
166,170,~Rylan_Schaeffer2,True,Meta Generative AI,Intern,,2023.0,2024.0,,,Meta GenAI
167,171,~Sylvia_Cremer1,True,ISTA (Institute of Science and Technology Austria),Full Professor,,2015.0,,Klosterneuburg,AT,Institute of Science and Technology Austria
168,172,~Yuyang_Huo1,True,Nankai University,PhD student,,2020.0,2026.0,,,Nankai University
169,173,~Kyurae_Kim1,False,University of Pennsylvania,PhD student,,2022.0,2027.0,Philadelphia,US,University of Pennsylvania
170,174,~Changwei_Wang2,False,Qilu University of Technology (Shandong Academy of Sciences),Associate Professor,,2024.0,,,CN,Qilu University of Technology
171,175,~Changwei_Wang2,False,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",PhD student,,2019.0,2024.0,,CN,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
172,176,~Changwei_Wang2,False,University of the Chinese Academy of Sciences,PhD student,,2019.0,2024.0,,CN,University of Chinese Academy of Sciences
173,177,~Yuyang_Ji3,True,Nanjing University,MS student,,2023.0,,Nanjing,CN,Nanjing University
174,178,~Hongliang_Yan1,,Shanghai Artificial Intelligence Lab,Postdoc,,2022.0,,Harbin,CN,Shanghai Artificial Intelligence Laboratory
175,179,~Lin_Wang15,True,Northwest University,Associate Professor,,2025.0,,Xi'an,CN,Northwest University
176,180,~Lin_Wang15,True,Northwest University,Associate Professor,,2018.0,2025.0,Xi'an,CN,Northwest University
177,181,~Jitendra_Malik2,False,Facebook,Director of Research,,2018.0,,Menlo Park,US,Meta
178,182,~Jitendra_Malik2,False,University of California Berkeley,Full Professor,,1985.0,,Berkeley,US,"University of California, Berkeley"
179,183,~Xin_Ma5,True,ENN Group,Researcher,,2021.0,,Beijing,CN,ENN Group
180,184,~Markus_Freitag2,False,Google,Researcher,,2017.0,,,US,Google
181,185,~Zhengling_Qi1,True,George Washington University,Assistant Professor,,2019.0,,,US,George Washington University
182,186,~Qiang_Xu1,False,The Chinese University of Hong Kong,Full Professor,,2005.0,,,HK,Chinese University of Hong Kong
183,187,~Han_Yu1,False,Nanyang Technological University,Associate Professor,,2024.0,,Singapore,SG,Nanyang Technological University
184,188,~Vsevolod_Viliuga1,True,Science for Life Laboratory,PhD student,,2024.0,2029.0,Stockholm,SE,Science for Life Laboratory
185,189,~Vsevolod_Viliuga1,True,Ruprecht-Karls-Universität Heidelberg,MS student,,2022.0,2024.0,Heidelberg,DE,Heidelberg University
186,190,~Liwen_Zhu1,True,Tencent AI Lab,Researcher,,2023.0,,,CN,Tencent
187,191,~Yitong_Sun2,True,Beihang University,MS student,,2024.0,,Haidian,CN,Beihang University
188,192,~Yitong_Sun2,True,Beihang University,Undergrad student,,2020.0,2024.0,Haidian,CN,Beihang University
189,193,~Zhaomin_Wu1,True,National University of Singapore,Postdoc,,2024.0,,,SG,National University of Singapore
190,194,~Zhaomin_Wu1,True,"national university of singaore, National University of Singapore",PhD student,,2019.0,2024.0,,SG,National University of Singapore
191,195,~Shuo_Liu7,True,Tencent Game AI Lab,Researcher,,2025.0,,Shen Zhen,CN,Tencent Robotics X Lab
192,196,~Shuo_Liu7,True,National University of Singapore,Intern,,2024.0,2025.0,Singapore,SG,National University of Singapore
193,197,~Shuo_Liu7,True,East China Normal University,MS student,,2022.0,2025.0,Shanghai,CN,East China Normal University
194,198,~Shan_Tan1,True,Huazhong University of Science and Technology,Full Professor,,2011.0,,Wuhan,CN,Huazhong University of Science and Technology
195,199,~Shengyuan_Hu2,True,Meta,Researcher,,2025.0,,Menlo Park,US,Meta
196,200,~Shengyuan_Hu2,True,Carnegie Mellon University,PhD student,,2020.0,2025.0,Pittsburgh,US,Carnegie Mellon University
197,201,~Seongyun_Lee1,True,Korea Advanced Institute of Science & Technology,MS student,,2024.0,2026.0,Seoul,KR,Korea Advanced Institute of Science and Technology
198,202,~Seongyun_Lee1,True,Korea University,Undergrad student,,2020.0,2024.0,Seoul,KR,Korea University
199,203,~Haeyeon_Kim1,True,Korea Advanced Institute of Science & Technology,PhD student,,2022.0,2025.0,Daejeon,KR,Korea Advanced Institute of Science and Technology
200,204,~Taira_Tsuchiya1,True,RIKEN,Visiting Scientist,,2024.0,,,JP,RIKEN
201,205,~Taira_Tsuchiya1,True,The University of Tokyo,Assistant Professor,,2023.0,,,JP,The University of Tokyo
202,206,~Liutao_Yu1,True,Peng Cheng Laboratory,Engineer,,2020.0,,,,Peng Cheng Laboratory
203,207,~Jinliang_Deng1,True,Hong Kong University of Science and Technology,Postdoc,,2024.0,,,HK,Hong Kong University of Science and Technology(Guangzhou)
204,208,~Jinliang_Deng1,True,University of Technology Sydney,PhD student,,2019.0,2024.0,,AU,University of Technology Sydney
205,209,~Donatien_Dubuc1,True,IFP Energies Nouvelles,Researcher,,2019.0,,,FR,IFP Energies Nouvelles
206,210,~Zhaoyu_Fan1,True,Zhejiang University,MS student,,2023.0,2026.0,,CN,Zhejiang University
207,211,~Andrei_Barbu3,True,Massachusetts Institute of Technology,Researcher,,2016.0,,,US,Massachusetts Institute of Technology
208,212,~Xin_Geng1,False,"Southeast University, China",Professor,,2008.0,,Nanjing,CN,Southeast University
209,213,~Seyed-Mohsen_Moosavi-Dezfooli1,False,Apple Inc.,Researcher,,2024.0,,,CH,Apple
210,214,~Seyed-Mohsen_Moosavi-Dezfooli1,False,"Imperial College London, Imperial College London",Assistant Professor,,2022.0,2024.0,,GB,Imperial College London
211,215,~Mikhail_Mozikov1,True,Moscow State Institute of Steel and Alloys,PhD student,,2023.0,2026.0,Moscow,RU,Moscow State Institute of Steel and Alloys
212,216,~Shiqi_Wang1,True,City University of Hong Kong,Associate Professor,,2023.0,,Hong Kong,HK,City University of Hong Kong
213,217,~Jae_Sung_Park2,True,University of Washington,PhD student,,2019.0,2025.0,Seattle,US,University of Washington
214,218,~Stephanie_Wang4,True,"Department of Computer Science, University of Washington",Assistant Professor,,2024.0,,,,University of Washington
215,219,~Dan_Qiao1,True,"UC San Diego, University of California, San Diego",PhD student,,2024.0,2026.0,San Diego,US,"University of California, San Diego"
216,220,~Dan_Qiao1,True,", University of California, Santa Barbara",PhD student,,2021.0,2024.0,Santa Barbara,US,"University of California, Santa Barbara"
217,221,~Jia-Bin_Huang1,True,"University of Maryland, College Park",Associate Professor,,2022.0,,College Park,US,"University of Maryland, College Park"
218,222,~Marcus_A_Brubaker1,False,Google DeepMind,Researcher,,2024.0,,Toronto,CA,Google
219,223,~Marcus_A_Brubaker1,False,York University,Associate Professor,,2023.0,,Toronto,CA,York University
220,224,~Marcus_A_Brubaker1,False,Samsung AI,Visiting Professor,,2021.0,2024.0,Toronto,CA,Samsung AI
221,225,~Marcus_A_Brubaker1,False,Borealis AI,Academic Advisor,,2020.0,2024.0,Toronto,CA,Borealis AI
222,226,~Jian_Chen13,True,"University of California, San Diego",PhD student,,2025.0,,San Diego,US,"University of California, San Diego"
223,227,~Jian_Chen13,True,Microsoft Research,Intern,,2025.0,2025.0,Beijing,CN,Microsoft
224,228,~Jian_Chen13,True,Carnegie Mellon University,MS student,,2023.0,2024.0,Pittsburgh,US,Carnegie Mellon University
225,229,~Haizhao_Dai1,True,ShanghaiTech University,PhD student,,2023.0,2028.0,Shanghai,CN,ShanghaiTech University
226,230,~Ziming_Liu2,True,Massachusetts Institute of Technology,PhD student,,2021.0,,,,Massachusetts Institute of Technology
227,231,~Fanfu_Wang1,True,Lanzhou University,Undergrad student,,2022.0,2026.0,,CN,Lanzhou University
228,232,~Patrick_Pynadath1,True,", Purdue University",PhD student,,2023.0,,West Lafayette,US,Purdue University
229,233,~Xin_Zhang46,True,Chinese Academy of Sciences,Assistant Professor,,2021.0,,Beijing,CN,Institute of Automation，Chinese Academy of Sciences
230,234,~Drago_Plecko1,True,"University of California, Los Angeles",Assistant Professor,,2025.0,,Los Angeles,US,"University of California, Los Angeles"
231,235,~Drago_Plecko1,True,Columbia University,Postdoc,,2022.0,2025.0,New York,US,Columbia University
232,236,~Milan_Vojnovic1,False,London School of Economics,Professor,,2016.0,,,,London School of Economics
233,237,~Balaji_Venkatachalam1,True,Facebook,Researcher,,2024.0,,,US,Meta
