industry,year,ai,all
Higher Education and Research,2014,43,1110
Industrial,2014,13,242
Manufacturing,2014,17,1136
Media and Entertainment,2014,297,6218
Restaurants and Quick-Service,2014,4,283
Retail and Consumer Packaged Goods,2014,175,4627
Robotics,2014,109,283
Semiconductor,2014,31,670
Telecommunications,2014,126,2991
"Architecture, Engineering, Construction, and Operations",2015,18,451
Automotive,2015,40,644
Energy,2015,35,773
Financial Services,2015,234,2992
Government,2015,120,1170
Healthcare and Life Sciences,2015,193,4007
Higher Education and Research,2015,77,1328
Industrial,2015,31,368
Manufacturing,2015,35,1288
Media and Entertainment,2015,390,6834
Restaurants and Quick-Service,2015,7,429
Retail and Consumer Packaged Goods,2015,223,5701
Robotics,2015,177,464
Semiconductor,2015,49,707
Telecommunications,2015,175,2797
"Architecture, Engineering, Construction, and Operations",2016,45,537
Automotive,2016,92,728
Energy,2016,48,777
Financial Services,2016,302,3273
Government,2016,162,1207
Healthcare and Life Sciences,2016,287,4202
Higher Education and Research,2016,103,1309
Industrial,2016,57,408
Manufacturing,2016,50,1292
Media and Entertainment,2016,466,6512
Restaurants and Quick-Service,2016,10,456
Retail and Consumer Packaged Goods,2016,310,5559
Robotics,2016,273,639
Semiconductor,2016,71,694
Telecommunications,2016,184,2326
"Architecture, Engineering, Construction, and Operations",2017,47,509
Automotive,2017,102,854
Energy,2017,56,922
Financial Services,2017,442,4061
Government,2017,211,1310
Healthcare and Life Sciences,2017,390,4670
Higher Education and Research,2017,113,1309
Industrial,2017,83,470
Manufacturing,2017,60,1467
Media and Entertainment,2017,597,6311
Restaurants and Quick-Service,2017,13,450
Retail and Consumer Packaged Goods,2017,400,5988
Robotics,2017,353,711
Semiconductor,2017,98,752
Telecommunications,2017,199,2003
"Architecture, Engineering, Construction, and Operations",2018,66,615
Automotive,2018,140,933
Energy,2018,95,1064
Financial Services,2018,548,4850
Government,2018,248,1478
Healthcare and Life Sciences,2018,487,5298
Higher Education and Research,2018,167,1527
Industrial,2018,112,533
Manufacturing,2018,77,1637
Media and Entertainment,2018,691,6408
Restaurants and Quick-Service,2018,22,441
Retail and Consumer Packaged Goods,2018,463,6528
Robotics,2018,489,936
Semiconductor,2018,122,785
Telecommunications,2018,227,1834
"Architecture, Engineering, Construction, and Operations",2019,83,697
Automotive,2019,116,808
Energy,2019,93,1054
Financial Services,2019,549,4658
Government,2019,291,1447
Healthcare and Life Sciences,2019,594,5406
Higher Education and Research,2019,159,1325
Industrial,2019,125,516
Manufacturing,2019,121,1565
Media and Entertainment,2019,738,5633
Restaurants and Quick-Service,2019,15,487
Retail and Consumer Packaged Goods,2019,517,6520
Robotics,2019,448,815
Semiconductor,2019,126,599
Telecommunications,2019,200,1594
"Architecture, Engineering, Construction, and Operations",2020,95,635
Automotive,2020,113,759
Energy,2020,90,1127
Financial Services,2020,560,4744
Government,2020,267,1346
Healthcare and Life Sciences,2020,655,5759
Higher Education and Research,2020,161,1316
Industrial,2020,114,473
Manufacturing,2020,116,1517
Media and Entertainment,2020,711,5147
Restaurants and Quick-Service,2020,27,468
Retail and Consumer Packaged Goods,2020,502,6039
Robotics,2020,420,767
Semiconductor,2020,106,546
Telecommunications,2020,217,1511
"Architecture, Engineering, Construction, and Operations",2021,123,899
Automotive,2021,148,1019
Energy,2021,119,1561
Financial Services,2021,866,7913
Government,2021,377,1725
Healthcare and Life Sciences,2021,873,7386
Higher Education and Research,2021,230,1748
Industrial,2021,129,601
Manufacturing,2021,130,2017
Media and Entertainment,2021,1058,7015
Restaurants and Quick-Service,2021,38,661
Retail and Consumer Packaged Goods,2021,679,8358
Robotics,2021,533,939
Semiconductor,2021,126,690
Telecommunications,2021,291,1801
"Architecture, Engineering, Construction, and Operations",2022,126,921
Automotive,2022,120,1030
Energy,2022,140,1902
Financial Services,2022,887,7828
Government,2022,353,1626
Healthcare and Life Sciences,2022,828,6720
Higher Education and Research,2022,236,1576
Industrial,2022,139,679
Manufacturing,2022,167,2291
Media and Entertainment,2022,1063,6553
Restaurants and Quick-Service,2022,37,636
Retail and Consumer Packaged Goods,2022,672,7561
Robotics,2022,478,860
Semiconductor,2022,138,727
Telecommunications,2022,249,1426
"Architecture, Engineering, Construction, and Operations",2023,123,752
Automotive,2023,119,875
Energy,2023,152,1839
Financial Services,2023,805,5182
Government,2023,335,1220
Healthcare and Life Sciences,2023,770,5599
Higher Education and Research,2023,258,1125
Industrial,2023,150,603
Manufacturing,2023,189,2300
Media and Entertainment,2023,1269,4877
Restaurants and Quick-Service,2023,24,466
Retail and Consumer Packaged Goods,2023,608,5485
Robotics,2023,403,756
Semiconductor,2023,156,691
Telecommunications,2023,248,1070
"Architecture, Engineering, Construction, and Operations",2024,131,648
Automotive,2024,134,731
Energy,2024,133,1583
Financial Services,2024,949,4770
Government,2024,384,1115
Healthcare and Life Sciences,2024,851,5134
Higher Education and Research,2024,243,875
Industrial,2024,147,553
Manufacturing,2024,218,2199
Media and Entertainment,2024,1526,4278
Restaurants and Quick-Service,2024,27,353
Retail and Consumer Packaged Goods,2024,623,4372
Robotics,2024,448,765
Semiconductor,2024,158,608
Telecommunications,2024,247,910
"Architecture, Engineering, Construction, and Operations",2025,169,651
Automotive,2025,116,625
Energy,2025,134,1440
Financial Services,2025,1026,4210
Government,2025,477,1142
Healthcare and Life Sciences,2025,867,4630
Higher Education and Research,2025,217,690
Industrial,2025,139,601
Manufacturing,2025,287,2224
Media and Entertainment,2025,1531,3581
Restaurants and Quick-Service,2025,26,272
Retail and Consumer Packaged Goods,2025,622,3806
Robotics,2025,505,823
Semiconductor,2025,190,662
Telecommunications,2025,262,783
"Architecture, Engineering, Construction, and Operations",2026,63,241
Automotive,2026,55,229
Energy,2026,64,581
Financial Services,2026,383,1466
Government,2026,206,470
Healthcare and Life Sciences,2026,338,1787
Higher Education and Research,2026,74,223
Industrial,2026,67,237
Manufacturing,2026,105,880
Media and Entertainment,2026,568,1313
Restaurants and Quick-Service,2026,10,92
Retail and Consumer Packaged Goods,2026,219,1343
Robotics,2026,235,393
Semiconductor,2026,98,308
Telecommunications,2026,112,329
