task,year,month,count,count_filter_likes,count_filter_downloads
Multimodal,2024,7,451,88,189
Multimodal,2024,8,550,98,148
Multimodal,2024,9,852,119,192
Multimodal,2024,10,988,103,172
Multimodal,2024,11,1708,169,254
Multimodal,2024,12,1242,155,266
Multimodal,2025,1,1342,181,270
Multimodal,2025,2,956,158,280
Multimodal,2025,3,1467,354,507
Multimodal,2025,4,1253,303,460
Multimodal,2025,5,1159,249,362
Multimodal,2025,6,1129,247,397
Multimodal,2025,7,1530,211,328
Multimodal,2025,8,1175,269,357
Multimodal,2025,9,1299,175,264
Multimodal,2025,10,1563,448,619
Multimodal,2025,11,2547,282,395
Multimodal,2025,12,1626,356,436
Multimodal,2026,1,3911,288,398
Multimodal,2026,2,2006,416,567
Multimodal,2026,3,2422,769,1194
Multimodal,2026,4,3844,980,1765
Natural Language Processing,2022,3,17693,4231,15448
Natural Language Processing,2022,4,2461,364,1780
Natural Language Processing,2022,5,2787,310,1774
Natural Language Processing,2022,6,2808,306,1827
Natural Language Processing,2022,7,2091,266,1506
Natural Language Processing,2022,8,2470,273,1442
Natural Language Processing,2022,9,2043,270,1410
Natural Language Processing,2022,10,2433,329,1662
Natural Language Processing,2022,11,3244,362,2295
Natural Language Processing,2022,12,2829,355,2109
Natural Language Processing,2023,1,4127,460,2533
Natural Language Processing,2023,2,3853,465,2704
Natural Language Processing,2023,3,5395,652,3938
Natural Language Processing,2023,4,5301,913,3760
Natural Language Processing,2023,5,6219,984,3048
Natural Language Processing,2023,6,6211,1052,3096
Natural Language Processing,2023,7,6597,1214,3584
Natural Language Processing,2023,8,7130,1396,4304
Natural Language Processing,2023,9,8076,1670,4509
Natural Language Processing,2023,10,10286,1563,4496
Natural Language Processing,2023,11,13868,1851,5134
Natural Language Processing,2023,12,11205,2087,4145
Natural Language Processing,2024,1,13918,2636,5878
Natural Language Processing,2024,2,13542,2208,4717
Natural Language Processing,2024,3,14566,2179,4938
Natural Language Processing,2024,4,17885,2654,6756
Natural Language Processing,2024,5,21448,2525,5871
Natural Language Processing,2024,6,18071,2001,5258
Natural Language Processing,2024,7,15910,1974,4619
Natural Language Processing,2024,8,8734,1401,3912
Natural Language Processing,2024,9,9156,1716,3616
Natural Language Processing,2024,10,10130,1673,3912
Natural Language Processing,2024,11,15667,1762,5868
Natural Language Processing,2024,12,15014,1874,4732
Natural Language Processing,2025,1,16630,1950,3946
Natural Language Processing,2025,2,17821,2125,4168
Natural Language Processing,2025,3,18892,1987,3849
Natural Language Processing,2025,4,23908,1809,3726
Natural Language Processing,2025,5,17710,1712,3251
Natural Language Processing,2025,6,16201,1547,4131
Natural Language Processing,2025,7,15216,1576,3463
Natural Language Processing,2025,8,15803,1805,3195
Natural Language Processing,2025,9,14207,1354,3428
Natural Language Processing,2025,10,13986,1340,3432
Natural Language Processing,2025,11,15832,1257,3168
Natural Language Processing,2025,12,14965,1451,2781
Natural Language Processing,2026,1,16121,1556,2467
Natural Language Processing,2026,2,18338,1452,5157
Natural Language Processing,2026,3,18363,1709,5941
Natural Language Processing,2026,4,18151,1540,7810
Other,2022,10,1,1,1
Other,2023,1,4,4,4
Other,2023,4,1,1,0
Other,2023,5,2,2,1
Other,2023,6,1,0,0
Other,2023,7,8,3,5
Other,2023,8,3,1,2
Other,2023,10,2,0,0
Other,2023,11,1,1,1
Other,2023,12,12,7,8
Other,2024,1,2,0,1
Other,2024,2,3,1,1
Other,2024,3,3,3,3
Other,2024,4,4,1,1
Other,2024,5,5,1,1
Other,2024,6,6,3,2
Other,2024,7,1,0,0
Other,2024,8,2,0,0
Other,2024,9,5,2,0
Other,2024,10,11,6,7
Other,2024,11,4,3,2
Other,2024,12,3,2,0
Other,2025,1,2,1,0
Other,2025,2,7,6,3
Other,2025,3,11,6,4
Other,2025,4,8,2,3
Other,2025,5,7,5,0
Other,2025,6,21,8,7
Other,2025,7,9,4,2
Other,2025,8,13,6,2
Other,2025,9,14,6,2
Other,2025,10,19,4,1
Other,2025,11,29,5,5
Other,2025,12,34,15,9
Other,2026,1,33,4,1
Other,2026,2,47,11,2
Other,2026,3,50,9,5
Other,2026,4,63,9,3
Reinforcement Learning,2022,3,29,19,25
Reinforcement Learning,2022,4,5,2,5
Reinforcement Learning,2022,5,892,28,139
Reinforcement Learning,2022,6,576,41,287
Reinforcement Learning,2022,7,414,12,119
Reinforcement Learning,2022,8,349,7,72
Reinforcement Learning,2022,9,165,1,35
Reinforcement Learning,2022,10,360,5,45
Reinforcement Learning,2022,11,214,3,40
Reinforcement Learning,2022,12,2007,41,390
Reinforcement Learning,2023,1,2885,42,544
Reinforcement Learning,2023,2,3913,34,718
Reinforcement Learning,2023,3,4405,30,569
Reinforcement Learning,2023,4,2403,30,335
Reinforcement Learning,2023,5,1989,9,198
Reinforcement Learning,2023,6,2168,19,186
Reinforcement Learning,2023,7,2375,31,265
Reinforcement Learning,2023,8,1976,15,158
Reinforcement Learning,2023,9,1523,17,124
Reinforcement Learning,2023,10,1629,18,82
Reinforcement Learning,2023,11,1829,17,95
Reinforcement Learning,2023,12,1922,46,88
Reinforcement Learning,2024,1,1712,17,79
Reinforcement Learning,2024,2,1471,11,56
Reinforcement Learning,2024,3,1630,19,62
Reinforcement Learning,2024,4,1500,9,67
Reinforcement Learning,2024,5,1470,22,78
Reinforcement Learning,2024,6,1351,21,73
Reinforcement Learning,2024,7,1210,39,65
Reinforcement Learning,2024,8,1451,17,54
Reinforcement Learning,2024,9,1233,30,86
Reinforcement Learning,2024,10,1378,23,77
Reinforcement Learning,2024,11,1174,47,86
Reinforcement Learning,2024,12,1363,50,69
Reinforcement Learning,2025,1,1404,58,57
Reinforcement Learning,2025,2,2129,74,149
Reinforcement Learning,2025,3,1992,54,120
Reinforcement Learning,2025,4,1589,51,84
Reinforcement Learning,2025,5,1751,43,85
Reinforcement Learning,2025,6,1660,78,129
Reinforcement Learning,2025,7,2119,75,156
Reinforcement Learning,2025,8,2398,50,146
Reinforcement Learning,2025,9,2220,57,118
Reinforcement Learning,2025,10,2402,56,147
Reinforcement Learning,2025,11,2695,57,93
Reinforcement Learning,2025,12,3186,60,89
Reinforcement Learning,2026,1,3806,72,164
Reinforcement Learning,2026,2,3050,77,182
Reinforcement Learning,2026,3,3462,75,244
Reinforcement Learning,2026,4,2715,75,123
Tabular,2022,3,5,5,4
Tabular,2022,5,1,1,1
Tabular,2022,6,6,6,6
Tabular,2022,7,10,4,1
Tabular,2022,8,11,5,3
Tabular,2022,9,5,4,2
Tabular,2022,10,41,15,21
Tabular,2022,11,30,4,4
Tabular,2022,12,13,3,2
Tabular,2023,1,13,3,0
Tabular,2023,2,16,3,3
Tabular,2023,3,12,1,6
Tabular,2023,4,22,2,6
Tabular,2023,5,12,2,5
Tabular,2023,6,8,0,0
Tabular,2023,7,9,0,1
Tabular,2023,8,8,0,1
Tabular,2023,9,14,2,3
Tabular,2023,10,7,1,2
Tabular,2023,11,5,2,1
Tabular,2023,12,3,0,0
Tabular,2024,1,10,1,1
Tabular,2024,2,15,12,10
Tabular,2024,3,15,2,0
Tabular,2024,4,11,3,2
Tabular,2024,5,12,10,10
Tabular,2024,6,16,7,5
Tabular,2024,7,15,3,2
Tabular,2024,8,20,7,8
Tabular,2024,9,13,4,3
Tabular,2024,10,20,7,7
Tabular,2024,11,36,18,19
Tabular,2024,12,26,3,5
Tabular,2025,1,45,5,6
Tabular,2025,2,14,4,2
Tabular,2025,3,23,6,2
Tabular,2025,4,21,8,4
Tabular,2025,5,13,5,5
Tabular,2025,6,40,11,6
Tabular,2025,7,30,6,3
Tabular,2025,8,24,7,2
Tabular,2025,9,40,11,9
Tabular,2025,10,46,12,7
Tabular,2025,11,392,17,8
Tabular,2025,12,68,6,4
Tabular,2026,1,44,6,1
Tabular,2026,2,97,9,4
Tabular,2026,3,98,9,8
Tabular,2026,4,131,14,8
