kind,subtype,subcategory,company,period,works,citations,work_id,title
subtype-quarter,agent-memory,,,2023-Q4,29,,,
subtype-quarter,agent-memory,,,2024-Q1,52,,,
subtype-quarter,agent-memory,,,2024-Q2,54,,,
subtype-quarter,agent-memory,,,2024-Q3,50,,,
subtype-quarter,agent-memory,,,2024-Q4,76,,,
subtype-quarter,agent-memory,,,2025-Q1,173,,,
subtype-quarter,agent-memory,,,2025-Q2,244,,,
subtype-quarter,agent-memory,,,2025-Q3,353,,,
subtype-quarter,agent-memory,,,2025-Q4,549,,,
subtype-quarter,agent-memory,,,2026-Q1,1308,,,
subtype-quarter,agent-memory,,,2026-Q2,1850,,,
subtype-quarter,agent-memory,,,2026-Q3,1,,,
subtype-quarter,agent-memory,,,2026-Q4,3,,,
subtype-quarter,agent-safety,,,2022-Q1,1,,,
subtype-quarter,agent-safety,,,2022-Q4,1,,,
subtype-quarter,agent-safety,,,2023-Q1,1,,,
subtype-quarter,agent-safety,,,2023-Q2,1,,,
subtype-quarter,agent-safety,,,2023-Q3,3,,,
subtype-quarter,agent-safety,,,2023-Q4,6,,,
subtype-quarter,agent-safety,,,2024-Q1,21,,,
subtype-quarter,agent-safety,,,2024-Q2,12,,,
subtype-quarter,agent-safety,,,2024-Q3,12,,,
subtype-quarter,agent-safety,,,2024-Q4,26,,,
subtype-quarter,agent-safety,,,2025-Q1,76,,,
subtype-quarter,agent-safety,,,2025-Q2,88,,,
subtype-quarter,agent-safety,,,2025-Q3,131,,,
subtype-quarter,agent-safety,,,2025-Q4,244,,,
subtype-quarter,agent-safety,,,2026-Q1,566,,,
subtype-quarter,agent-safety,,,2026-Q2,887,,,
subtype-quarter,agentic-other,,,2023-Q1,1,,,
subtype-quarter,agentic-other,,,2023-Q4,1,,,
subtype-quarter,agentic-other,,,2024-Q1,1,,,
subtype-quarter,agentic-other,,,2024-Q3,3,,,
subtype-quarter,agentic-other,,,2025-Q1,9,,,
subtype-quarter,agentic-other,,,2025-Q2,7,,,
subtype-quarter,agentic-other,,,2025-Q3,17,,,
subtype-quarter,agentic-other,,,2025-Q4,16,,,
subtype-quarter,agentic-other,,,2026-Q1,43,,,
subtype-quarter,agentic-other,,,2026-Q2,49,,,
subtype-quarter,agentic-retrieval,,,2021-Q3,1,,,
subtype-quarter,agentic-retrieval,,,2021-Q4,1,,,
subtype-quarter,agentic-retrieval,,,2022-Q1,2,,,
subtype-quarter,agentic-retrieval,,,2022-Q2,1,,,
subtype-quarter,agentic-retrieval,,,2023-Q1,15,,,
subtype-quarter,agentic-retrieval,,,2023-Q2,14,,,
subtype-quarter,agentic-retrieval,,,2023-Q3,26,,,
subtype-quarter,agentic-retrieval,,,2023-Q4,46,,,
subtype-quarter,agentic-retrieval,,,2024-Q1,100,,,
subtype-quarter,agentic-retrieval,,,2024-Q2,92,,,
subtype-quarter,agentic-retrieval,,,2024-Q3,94,,,
subtype-quarter,agentic-retrieval,,,2024-Q4,160,,,
subtype-quarter,agentic-retrieval,,,2025-Q1,420,,,
subtype-quarter,agentic-retrieval,,,2025-Q2,427,,,
subtype-quarter,agentic-retrieval,,,2025-Q3,583,,,
subtype-quarter,agentic-retrieval,,,2025-Q4,890,,,
subtype-quarter,agentic-retrieval,,,2026-Q1,1370,,,
subtype-quarter,agentic-retrieval,,,2026-Q2,1574,,,
subtype-quarter,agentic-retrieval,,,2026-Q3,3,,,
subtype-quarter,autonomous-agents,,,2020-Q1,1,,,
subtype-quarter,autonomous-agents,,,2020-Q3,1,,,
subtype-quarter,autonomous-agents,,,2020-Q4,1,,,
subtype-quarter,autonomous-agents,,,2021-Q1,1,,,
subtype-quarter,autonomous-agents,,,2021-Q3,3,,,
subtype-quarter,autonomous-agents,,,2022-Q1,1,,,
subtype-quarter,autonomous-agents,,,2022-Q2,3,,,
subtype-quarter,autonomous-agents,,,2022-Q3,5,,,
subtype-quarter,autonomous-agents,,,2022-Q4,8,,,
subtype-quarter,autonomous-agents,,,2023-Q1,27,,,
subtype-quarter,autonomous-agents,,,2023-Q2,39,,,
subtype-quarter,autonomous-agents,,,2023-Q3,69,,,
subtype-quarter,autonomous-agents,,,2023-Q4,119,,,
subtype-quarter,autonomous-agents,,,2024-Q1,281,,,
subtype-quarter,autonomous-agents,,,2024-Q2,245,,,
subtype-quarter,autonomous-agents,,,2024-Q3,251,,,
subtype-quarter,autonomous-agents,,,2024-Q4,410,,,
subtype-quarter,autonomous-agents,,,2025-Q1,876,,,
subtype-quarter,autonomous-agents,,,2025-Q2,944,,,
subtype-quarter,autonomous-agents,,,2025-Q3,1236,,,
subtype-quarter,autonomous-agents,,,2025-Q4,1903,,,
subtype-quarter,autonomous-agents,,,2026-Q1,3126,,,
subtype-quarter,autonomous-agents,,,2026-Q2,3850,,,
subtype-quarter,autonomous-agents,,,2026-Q3,10,,,
subtype-quarter,embodied,,,2020-Q3,1,,,
subtype-quarter,embodied,,,2021-Q1,1,,,
subtype-quarter,embodied,,,2021-Q4,1,,,
subtype-quarter,embodied,,,2022-Q1,2,,,
subtype-quarter,embodied,,,2022-Q2,5,,,
subtype-quarter,embodied,,,2022-Q3,3,,,
subtype-quarter,embodied,,,2022-Q4,6,,,
subtype-quarter,embodied,,,2023-Q1,12,,,
subtype-quarter,embodied,,,2023-Q2,11,,,
subtype-quarter,embodied,,,2023-Q3,13,,,
subtype-quarter,embodied,,,2023-Q4,27,,,
subtype-quarter,embodied,,,2024-Q1,37,,,
subtype-quarter,embodied,,,2024-Q2,38,,,
subtype-quarter,embodied,,,2024-Q3,31,,,
subtype-quarter,embodied,,,2024-Q4,51,,,
subtype-quarter,embodied,,,2025-Q1,74,,,
subtype-quarter,embodied,,,2025-Q2,100,,,
subtype-quarter,embodied,,,2025-Q3,98,,,
subtype-quarter,embodied,,,2025-Q4,159,,,
subtype-quarter,embodied,,,2026-Q1,232,,,
subtype-quarter,embodied,,,2026-Q2,210,,,
subtype-quarter,multi-agent,,,2020-Q1,1,,,
subtype-quarter,multi-agent,,,2020-Q2,1,,,
subtype-quarter,multi-agent,,,2021-Q1,1,,,
subtype-quarter,multi-agent,,,2021-Q2,3,,,
subtype-quarter,multi-agent,,,2021-Q4,1,,,
subtype-quarter,multi-agent,,,2022-Q1,1,,,
subtype-quarter,multi-agent,,,2022-Q4,4,,,
subtype-quarter,multi-agent,,,2023-Q1,12,,,
subtype-quarter,multi-agent,,,2023-Q2,8,,,
subtype-quarter,multi-agent,,,2023-Q3,33,,,
subtype-quarter,multi-agent,,,2023-Q4,55,,,
subtype-quarter,multi-agent,,,2024-Q1,162,,,
subtype-quarter,multi-agent,,,2024-Q2,124,,,
subtype-quarter,multi-agent,,,2024-Q3,141,,,
subtype-quarter,multi-agent,,,2024-Q4,285,,,
subtype-quarter,multi-agent,,,2025-Q1,679,,,
subtype-quarter,multi-agent,,,2025-Q2,668,,,
subtype-quarter,multi-agent,,,2025-Q3,851,,,
subtype-quarter,multi-agent,,,2025-Q4,1293,,,
subtype-quarter,multi-agent,,,2026-Q1,2112,,,
subtype-quarter,multi-agent,,,2026-Q2,2483,,,
subtype-quarter,multi-agent,,,2026-Q3,6,,,
subtype-quarter,orchestration,,,2022-Q1,1,,,
subtype-quarter,orchestration,,,2023-Q1,1,,,
subtype-quarter,orchestration,,,2023-Q2,2,,,
subtype-quarter,orchestration,,,2023-Q3,7,,,
subtype-quarter,orchestration,,,2023-Q4,5,,,
subtype-quarter,orchestration,,,2024-Q1,16,,,
subtype-quarter,orchestration,,,2024-Q2,9,,,
subtype-quarter,orchestration,,,2024-Q3,20,,,
subtype-quarter,orchestration,,,2024-Q4,28,,,
subtype-quarter,orchestration,,,2025-Q1,112,,,
subtype-quarter,orchestration,,,2025-Q2,124,,,
subtype-quarter,orchestration,,,2025-Q3,236,,,
subtype-quarter,orchestration,,,2025-Q4,393,,,
subtype-quarter,orchestration,,,2026-Q1,805,,,
subtype-quarter,orchestration,,,2026-Q2,1030,,,
subtype-quarter,orchestration,,,2026-Q3,1,,,
subtype-quarter,planning-reasoning,,,2020-Q1,2,,,
subtype-quarter,planning-reasoning,,,2020-Q2,1,,,
subtype-quarter,planning-reasoning,,,2020-Q3,1,,,
subtype-quarter,planning-reasoning,,,2020-Q4,1,,,
subtype-quarter,planning-reasoning,,,2021-Q1,1,,,
subtype-quarter,planning-reasoning,,,2021-Q2,1,,,
subtype-quarter,planning-reasoning,,,2021-Q3,1,,,
subtype-quarter,planning-reasoning,,,2021-Q4,3,,,
subtype-quarter,planning-reasoning,,,2022-Q1,3,,,
subtype-quarter,planning-reasoning,,,2022-Q2,4,,,
subtype-quarter,planning-reasoning,,,2022-Q3,5,,,
subtype-quarter,planning-reasoning,,,2022-Q4,9,,,
subtype-quarter,planning-reasoning,,,2023-Q1,30,,,
subtype-quarter,planning-reasoning,,,2023-Q2,48,,,
subtype-quarter,planning-reasoning,,,2023-Q3,61,,,
subtype-quarter,planning-reasoning,,,2023-Q4,118,,,
subtype-quarter,planning-reasoning,,,2024-Q1,270,,,
subtype-quarter,planning-reasoning,,,2024-Q2,238,,,
subtype-quarter,planning-reasoning,,,2024-Q3,224,,,
subtype-quarter,planning-reasoning,,,2024-Q4,390,,,
subtype-quarter,planning-reasoning,,,2025-Q1,923,,,
subtype-quarter,planning-reasoning,,,2025-Q2,989,,,
subtype-quarter,planning-reasoning,,,2025-Q3,1238,,,
subtype-quarter,planning-reasoning,,,2025-Q4,1934,,,
subtype-quarter,planning-reasoning,,,2026-Q1,3257,,,
subtype-quarter,planning-reasoning,,,2026-Q2,4000,,,
subtype-quarter,planning-reasoning,,,2026-Q3,5,,,
subtype-quarter,tool-use,,,2022-Q3,1,,,
subtype-quarter,tool-use,,,2023-Q1,13,,,
subtype-quarter,tool-use,,,2023-Q2,14,,,
subtype-quarter,tool-use,,,2023-Q3,20,,,
subtype-quarter,tool-use,,,2023-Q4,49,,,
subtype-quarter,tool-use,,,2024-Q1,115,,,
subtype-quarter,tool-use,,,2024-Q2,107,,,
subtype-quarter,tool-use,,,2024-Q3,108,,,
subtype-quarter,tool-use,,,2024-Q4,196,,,
subtype-quarter,tool-use,,,2025-Q1,402,,,
subtype-quarter,tool-use,,,2025-Q2,428,,,
subtype-quarter,tool-use,,,2025-Q3,537,,,
subtype-quarter,tool-use,,,2025-Q4,803,,,
subtype-quarter,tool-use,,,2026-Q1,1306,,,
subtype-quarter,tool-use,,,2026-Q2,1624,,,
subtype-quarter,tool-use,,,2026-Q3,1,,,
subtype-quarter,tool-use,,,2026-Q4,3,,,
subcat-year,agent-evaluation,benchmarks-environments,,2020,2,,,
subcat-year,agent-evaluation,benchmarks-environments,,2022,2,,,
subcat-year,agent-evaluation,benchmarks-environments,,2023,48,,,
subcat-year,agent-evaluation,benchmarks-environments,,2024,333,,,
subcat-year,agent-evaluation,benchmarks-environments,,2025,1524,,,
subcat-year,agent-evaluation,benchmarks-environments,,2026,2801,,,
subcat-year,agent-evaluation,domain-case-studies,,2020,1,,,
subcat-year,agent-evaluation,domain-case-studies,,2021,1,,,
subcat-year,agent-evaluation,domain-case-studies,,2022,2,,,
subcat-year,agent-evaluation,domain-case-studies,,2023,37,,,
subcat-year,agent-evaluation,domain-case-studies,,2024,282,,,
subcat-year,agent-evaluation,domain-case-studies,,2025,1371,,,
subcat-year,agent-evaluation,domain-case-studies,,2026,1672,,,
subcat-year,agent-evaluation,empirical-studies,,2020,2,,,
subcat-year,agent-evaluation,empirical-studies,,2021,2,,,
subcat-year,agent-evaluation,empirical-studies,,2022,6,,,
subcat-year,agent-evaluation,empirical-studies,,2023,161,,,
subcat-year,agent-evaluation,empirical-studies,,2024,940,,,
subcat-year,agent-evaluation,empirical-studies,,2025,4513,,,
subcat-year,agent-evaluation,empirical-studies,,2026,7448,,,
subcat-year,agent-evaluation,evaluation-methodology,,2023,2,,,
subcat-year,agent-evaluation,evaluation-methodology,,2024,9,,,
subcat-year,agent-evaluation,evaluation-methodology,,2025,53,,,
subcat-year,agent-evaluation,evaluation-methodology,,2026,72,,,
subcat-year,agent-evaluation,other,,2023,2,,,
subcat-year,agent-evaluation,other,,2024,8,,,
subcat-year,agent-evaluation,other,,2025,73,,,
subcat-year,agent-evaluation,other,,2026,130,,,
subcat-year,agent-evaluation,surveys-position,,2023,8,,,
subcat-year,agent-evaluation,surveys-position,,2024,22,,,
subcat-year,agent-evaluation,surveys-position,,2025,158,,,
subcat-year,agent-evaluation,surveys-position,,2026,165,,,
subcat-year,agent-memory,context-management,,2022,1,,,
subcat-year,agent-memory,context-management,,2023,11,,,
subcat-year,agent-memory,context-management,,2024,43,,,
subcat-year,agent-memory,context-management,,2025,292,,,
subcat-year,agent-memory,context-management,,2026,687,,,
subcat-year,agent-memory,experience-learning,,2020,1,,,
subcat-year,agent-memory,experience-learning,,2022,1,,,
subcat-year,agent-memory,experience-learning,,2023,30,,,
subcat-year,agent-memory,experience-learning,,2024,124,,,
subcat-year,agent-memory,experience-learning,,2025,538,,,
subcat-year,agent-memory,experience-learning,,2026,1199,,,
subcat-year,agent-memory,graph-memory,,2023,1,,,
subcat-year,agent-memory,graph-memory,,2024,7,,,
subcat-year,agent-memory,graph-memory,,2025,72,,,
subcat-year,agent-memory,graph-memory,,2026,157,,,
subcat-year,agent-memory,memory-architectures,,2021,1,,,
subcat-year,agent-memory,memory-architectures,,2022,1,,,
subcat-year,agent-memory,memory-architectures,,2023,11,,,
subcat-year,agent-memory,memory-architectures,,2024,37,,,
subcat-year,agent-memory,memory-architectures,,2025,262,,,
subcat-year,agent-memory,memory-architectures,,2026,711,,,
subcat-year,agent-memory,memory-benchmarks,,2024,4,,,
subcat-year,agent-memory,memory-benchmarks,,2025,32,,,
subcat-year,agent-memory,memory-benchmarks,,2026,168,,,
subcat-year,agent-memory,other,,2022,1,,,
subcat-year,agent-memory,other,,2023,1,,,
subcat-year,agent-memory,other,,2024,15,,,
subcat-year,agent-memory,other,,2025,97,,,
subcat-year,agent-memory,other,,2026,196,,,
subcat-year,agent-memory,personalization,,2024,2,,,
subcat-year,agent-memory,personalization,,2025,26,,,
subcat-year,agent-memory,personalization,,2026,44,,,
subcat-year,agent-safety,governance-control,,2022,1,,,
subcat-year,agent-safety,governance-control,,2023,1,,,
subcat-year,agent-safety,governance-control,,2024,11,,,
subcat-year,agent-safety,governance-control,,2025,135,,,
subcat-year,agent-safety,governance-control,,2026,359,,,
subcat-year,agent-safety,other,,2024,2,,,
subcat-year,agent-safety,other,,2025,15,,,
subcat-year,agent-safety,other,,2026,25,,,
subcat-year,agent-safety,poisoning-supply-chain,,2022,1,,,
subcat-year,agent-safety,poisoning-supply-chain,,2024,7,,,
subcat-year,agent-safety,poisoning-supply-chain,,2025,28,,,
subcat-year,agent-safety,poisoning-supply-chain,,2026,109,,,
subcat-year,agent-safety,privacy-confidentiality,,2024,9,,,
subcat-year,agent-safety,privacy-confidentiality,,2025,22,,,
subcat-year,agent-safety,privacy-confidentiality,,2026,79,,,
subcat-year,agent-safety,prompt-injection-jailbreaks,,2023,1,,,
subcat-year,agent-safety,prompt-injection-jailbreaks,,2024,9,,,
subcat-year,agent-safety,prompt-injection-jailbreaks,,2025,84,,,
subcat-year,agent-safety,prompt-injection-jailbreaks,,2026,175,,,
subcat-year,agent-safety,safety-evaluation,,2023,9,,,
subcat-year,agent-safety,safety-evaluation,,2024,33,,,
subcat-year,agent-safety,safety-evaluation,,2025,255,,,
subcat-year,agent-safety,safety-evaluation,,2026,706,,,
subcat-year,agentic-other,unclassified,,2023,2,,,
subcat-year,agentic-other,unclassified,,2024,4,,,
subcat-year,agentic-other,unclassified,,2025,49,,,
subcat-year,agentic-other,unclassified,,2026,92,,,
subcat-year,agentic-retrieval,agentic-rag,,2021,1,,,
subcat-year,agentic-retrieval,agentic-rag,,2022,1,,,
subcat-year,agentic-retrieval,agentic-rag,,2023,8,,,
subcat-year,agentic-retrieval,agentic-rag,,2024,131,,,
subcat-year,agentic-retrieval,agentic-rag,,2025,752,,,
subcat-year,agentic-retrieval,agentic-rag,,2026,825,,,
subcat-year,agentic-retrieval,deep-research,,2023,13,,,
subcat-year,agentic-retrieval,deep-research,,2024,31,,,
subcat-year,agentic-retrieval,deep-research,,2025,231,,,
subcat-year,agentic-retrieval,deep-research,,2026,287,,,
subcat-year,agentic-retrieval,domain-assistants,,2022,1,,,
subcat-year,agentic-retrieval,domain-assistants,,2023,6,,,
subcat-year,agentic-retrieval,domain-assistants,,2024,37,,,
subcat-year,agentic-retrieval,domain-assistants,,2025,194,,,
subcat-year,agentic-retrieval,domain-assistants,,2026,239,,,
subcat-year,agentic-retrieval,other,,2021,1,,,
subcat-year,agentic-retrieval,other,,2023,72,,,
subcat-year,agentic-retrieval,other,,2024,232,,,
subcat-year,agentic-retrieval,other,,2025,973,,,
subcat-year,agentic-retrieval,other,,2026,1350,,,
subcat-year,agentic-retrieval,structured-knowledge,,2022,1,,,
subcat-year,agentic-retrieval,structured-knowledge,,2023,2,,,
subcat-year,agentic-retrieval,structured-knowledge,,2024,15,,,
subcat-year,agentic-retrieval,structured-knowledge,,2025,170,,,
subcat-year,agentic-retrieval,structured-knowledge,,2026,246,,,
subcat-year,autonomous-agents,agent-training,,2023,16,,,
subcat-year,autonomous-agents,agent-training,,2024,58,,,
subcat-year,autonomous-agents,agent-training,,2025,273,,,
subcat-year,autonomous-agents,agent-training,,2026,518,,,
subcat-year,autonomous-agents,coding-software,,2023,12,,,
subcat-year,autonomous-agents,coding-software,,2024,93,,,
subcat-year,autonomous-agents,coding-software,,2025,406,,,
subcat-year,autonomous-agents,coding-software,,2026,622,,,
subcat-year,autonomous-agents,computer-web-use,,2023,4,,,
subcat-year,autonomous-agents,computer-web-use,,2024,21,,,
subcat-year,autonomous-agents,computer-web-use,,2025,95,,,
subcat-year,autonomous-agents,computer-web-use,,2026,149,,,
subcat-year,autonomous-agents,enterprise-domain,,2020,2,,,
subcat-year,autonomous-agents,enterprise-domain,,2021,2,,,
subcat-year,autonomous-agents,enterprise-domain,,2022,13,,,
subcat-year,autonomous-agents,enterprise-domain,,2023,120,,,
subcat-year,autonomous-agents,enterprise-domain,,2024,728,,,
subcat-year,autonomous-agents,enterprise-domain,,2025,3056,,,
subcat-year,autonomous-agents,enterprise-domain,,2026,3949,,,
subcat-year,autonomous-agents,other,,2023,27,,,
subcat-year,autonomous-agents,other,,2024,70,,,
subcat-year,autonomous-agents,other,,2025,237,,,
subcat-year,autonomous-agents,other,,2026,282,,,
subcat-year,autonomous-agents,personal-social,,2021,2,,,
subcat-year,autonomous-agents,personal-social,,2022,3,,,
subcat-year,autonomous-agents,personal-social,,2023,43,,,
subcat-year,autonomous-agents,personal-social,,2024,111,,,
subcat-year,autonomous-agents,personal-social,,2025,292,,,
subcat-year,autonomous-agents,personal-social,,2026,314,,,
subcat-year,autonomous-agents,science-discovery,,2020,1,,,
subcat-year,autonomous-agents,science-discovery,,2022,1,,,
subcat-year,autonomous-agents,science-discovery,,2023,32,,,
subcat-year,autonomous-agents,science-discovery,,2024,106,,,
subcat-year,autonomous-agents,science-discovery,,2025,600,,,
subcat-year,autonomous-agents,science-discovery,,2026,1152,,,
subcat-year,embodied,autonomous-driving,,2021,1,,,
subcat-year,embodied,autonomous-driving,,2023,1,,,
subcat-year,embodied,autonomous-driving,,2024,6,,,
subcat-year,embodied,autonomous-driving,,2025,18,,,
subcat-year,embodied,autonomous-driving,,2026,20,,,
subcat-year,embodied,human-robot-interaction,,2023,3,,,
subcat-year,embodied,human-robot-interaction,,2024,19,,,
subcat-year,embodied,human-robot-interaction,,2025,46,,,
subcat-year,embodied,human-robot-interaction,,2026,36,,,
subcat-year,embodied,manipulation-control,,2020,1,,,
subcat-year,embodied,manipulation-control,,2021,1,,,
subcat-year,embodied,manipulation-control,,2022,7,,,
subcat-year,embodied,manipulation-control,,2023,34,,,
subcat-year,embodied,manipulation-control,,2024,65,,,
subcat-year,embodied,manipulation-control,,2025,192,,,
subcat-year,embodied,manipulation-control,,2026,191,,,
subcat-year,embodied,navigation,,2022,6,,,
subcat-year,embodied,navigation,,2023,6,,,
subcat-year,embodied,navigation,,2024,17,,,
subcat-year,embodied,navigation,,2025,45,,,
subcat-year,embodied,navigation,,2026,42,,,
subcat-year,embodied,other,,2023,4,,,
subcat-year,embodied,other,,2024,1,,,
subcat-year,embodied,other,,2025,12,,,
subcat-year,embodied,other,,2026,33,,,
subcat-year,embodied,simulation-worlds,,2022,3,,,
subcat-year,embodied,simulation-worlds,,2023,15,,,
subcat-year,embodied,simulation-worlds,,2024,49,,,
subcat-year,embodied,simulation-worlds,,2025,118,,,
subcat-year,embodied,simulation-worlds,,2026,120,,,
subcat-year,multi-agent,agent-societies,,2021,1,,,
subcat-year,multi-agent,agent-societies,,2023,13,,,
subcat-year,multi-agent,agent-societies,,2024,71,,,
subcat-year,multi-agent,agent-societies,,2025,302,,,
subcat-year,multi-agent,agent-societies,,2026,590,,,
subcat-year,multi-agent,collaboration-frameworks,,2020,2,,,
subcat-year,multi-agent,collaboration-frameworks,,2021,3,,,
subcat-year,multi-agent,collaboration-frameworks,,2023,49,,,
subcat-year,multi-agent,collaboration-frameworks,,2024,323,,,
subcat-year,multi-agent,collaboration-frameworks,,2025,1444,,,
subcat-year,multi-agent,collaboration-frameworks,,2026,1671,,,
subcat-year,multi-agent,debate-consensus,,2023,13,,,
subcat-year,multi-agent,debate-consensus,,2024,47,,,
subcat-year,multi-agent,debate-consensus,,2025,198,,,
subcat-year,multi-agent,debate-consensus,,2026,297,,,
subcat-year,multi-agent,domain-mas,,2021,1,,,
subcat-year,multi-agent,domain-mas,,2022,5,,,
subcat-year,multi-agent,domain-mas,,2023,32,,,
subcat-year,multi-agent,domain-mas,,2024,266,,,
subcat-year,multi-agent,domain-mas,,2025,1492,,,
subcat-year,multi-agent,domain-mas,,2026,1936,,,
subcat-year,multi-agent,mas-efficiency-robustness,,2024,3,,,
subcat-year,multi-agent,mas-efficiency-robustness,,2025,32,,,
subcat-year,multi-agent,mas-efficiency-robustness,,2026,81,,,
subcat-year,multi-agent,other,,2023,1,,,
subcat-year,multi-agent,other,,2024,2,,,
subcat-year,multi-agent,other,,2025,23,,,
subcat-year,multi-agent,other,,2026,26,,,
subcat-year,orchestration,efficiency-economics,,2025,5,,,
subcat-year,orchestration,efficiency-economics,,2026,8,,,
subcat-year,orchestration,enterprise-architecture,,2022,1,,,
subcat-year,orchestration,enterprise-architecture,,2023,1,,,
subcat-year,orchestration,enterprise-architecture,,2024,13,,,
subcat-year,orchestration,enterprise-architecture,,2025,95,,,
subcat-year,orchestration,enterprise-architecture,,2026,212,,,
subcat-year,orchestration,frameworks-runtimes,,2023,14,,,
