skill,tier,year,month,date,postings
Cognitive Automation,dialogue_reasoning,2019,7,2019-07-01,12
Cognitive Automation,dialogue_reasoning,2019,8,2019-08-01,18
Cognitive Automation,dialogue_reasoning,2019,9,2019-09-01,9
Cognitive Automation,dialogue_reasoning,2019,10,2019-10-01,16
Cognitive Automation,dialogue_reasoning,2019,11,2019-11-01,12
Cognitive Automation,dialogue_reasoning,2019,12,2019-12-01,13
Cognitive Automation,dialogue_reasoning,2020,1,2020-01-01,15
Cognitive Automation,dialogue_reasoning,2020,2,2020-02-01,20
Cognitive Automation,dialogue_reasoning,2020,3,2020-03-01,14
Cognitive Automation,dialogue_reasoning,2020,4,2020-04-01,9
Cognitive Automation,dialogue_reasoning,2020,5,2020-05-01,16
Cognitive Automation,dialogue_reasoning,2020,6,2020-06-01,13
Cognitive Automation,dialogue_reasoning,2020,7,2020-07-01,9
Cognitive Automation,dialogue_reasoning,2020,8,2020-08-01,16
Cognitive Automation,dialogue_reasoning,2020,9,2020-09-01,5
Cognitive Automation,dialogue_reasoning,2020,10,2020-10-01,5
Cognitive Automation,dialogue_reasoning,2020,11,2020-11-01,7
Cognitive Automation,dialogue_reasoning,2020,12,2020-12-01,18
Cognitive Automation,dialogue_reasoning,2021,1,2021-01-01,19
Cognitive Automation,dialogue_reasoning,2021,2,2021-02-01,14
Cognitive Automation,dialogue_reasoning,2021,3,2021-03-01,22
Cognitive Automation,dialogue_reasoning,2021,4,2021-04-01,24
Cognitive Automation,dialogue_reasoning,2021,5,2021-05-01,18
Cognitive Automation,dialogue_reasoning,2021,6,2021-06-01,20
Cognitive Automation,dialogue_reasoning,2021,7,2021-07-01,18
Cognitive Automation,dialogue_reasoning,2021,8,2021-08-01,16
Cognitive Automation,dialogue_reasoning,2021,9,2021-09-01,22
Cognitive Automation,dialogue_reasoning,2021,10,2021-10-01,16
Cognitive Automation,dialogue_reasoning,2021,11,2021-11-01,14
Cognitive Automation,dialogue_reasoning,2021,12,2021-12-01,32
Cognitive Automation,dialogue_reasoning,2022,1,2022-01-01,17
Cognitive Automation,dialogue_reasoning,2022,2,2022-02-01,28
Cognitive Automation,dialogue_reasoning,2022,3,2022-03-01,26
Cognitive Automation,dialogue_reasoning,2022,4,2022-04-01,21
Cognitive Automation,dialogue_reasoning,2022,5,2022-05-01,17
Cognitive Automation,dialogue_reasoning,2022,6,2022-06-01,22
Cognitive Automation,dialogue_reasoning,2022,7,2022-07-01,22
Cognitive Automation,dialogue_reasoning,2022,8,2022-08-01,24
Cognitive Automation,dialogue_reasoning,2022,9,2022-09-01,12
Cognitive Automation,dialogue_reasoning,2022,10,2022-10-01,9
Cognitive Automation,dialogue_reasoning,2022,11,2022-11-01,22
Cognitive Automation,dialogue_reasoning,2022,12,2022-12-01,18
Cognitive Automation,dialogue_reasoning,2023,1,2023-01-01,22
Cognitive Automation,dialogue_reasoning,2023,2,2023-02-01,12
Cognitive Automation,dialogue_reasoning,2023,3,2023-03-01,11
Cognitive Automation,dialogue_reasoning,2023,4,2023-04-01,103
Cognitive Automation,dialogue_reasoning,2023,5,2023-05-01,20
Cognitive Automation,dialogue_reasoning,2023,6,2023-06-01,20
Cognitive Automation,dialogue_reasoning,2023,7,2023-07-01,34
Cognitive Automation,dialogue_reasoning,2023,8,2023-08-01,18
Cognitive Automation,dialogue_reasoning,2023,9,2023-09-01,6
Cognitive Automation,dialogue_reasoning,2023,10,2023-10-01,7
Cognitive Automation,dialogue_reasoning,2023,11,2023-11-01,15
Cognitive Automation,dialogue_reasoning,2023,12,2023-12-01,21
Cognitive Automation,dialogue_reasoning,2024,1,2024-01-01,9
Cognitive Automation,dialogue_reasoning,2024,2,2024-02-01,2
Cognitive Automation,dialogue_reasoning,2024,3,2024-03-01,8
Cognitive Automation,dialogue_reasoning,2024,4,2024-04-01,14
Cognitive Automation,dialogue_reasoning,2024,5,2024-05-01,8
Cognitive Automation,dialogue_reasoning,2024,6,2024-06-01,5
Cognitive Automation,dialogue_reasoning,2024,7,2024-07-01,1
Cognitive Automation,dialogue_reasoning,2024,8,2024-08-01,10
Cognitive Automation,dialogue_reasoning,2024,9,2024-09-01,7
Cognitive Automation,dialogue_reasoning,2024,10,2024-10-01,5
Cognitive Automation,dialogue_reasoning,2024,11,2024-11-01,6
Cognitive Automation,dialogue_reasoning,2024,12,2024-12-01,2
Cognitive Automation,dialogue_reasoning,2025,1,2025-01-01,14
Cognitive Automation,dialogue_reasoning,2025,3,2025-03-01,8
Cognitive Automation,dialogue_reasoning,2025,4,2025-04-01,15
Cognitive Automation,dialogue_reasoning,2025,5,2025-05-01,31
Cognitive Automation,dialogue_reasoning,2025,6,2025-06-01,11
Cognitive Automation,dialogue_reasoning,2025,7,2025-07-01,22
Cognitive Automation,dialogue_reasoning,2025,8,2025-08-01,17
Cognitive Automation,dialogue_reasoning,2025,9,2025-09-01,8
Cognitive Automation,dialogue_reasoning,2025,10,2025-10-01,20
Cognitive Automation,dialogue_reasoning,2025,11,2025-11-01,34
Cognitive Automation,dialogue_reasoning,2025,12,2025-12-01,2
Cognitive Robotics,dialogue_reasoning,2018,2,2018-02-01,1
Cognitive Robotics,dialogue_reasoning,2018,4,2018-04-01,7
Cognitive Robotics,dialogue_reasoning,2018,6,2018-06-01,1
Cognitive Robotics,dialogue_reasoning,2018,7,2018-07-01,5
Cognitive Robotics,dialogue_reasoning,2018,8,2018-08-01,2
Cognitive Robotics,dialogue_reasoning,2018,9,2018-09-01,2
Cognitive Robotics,dialogue_reasoning,2018,10,2018-10-01,10
Cognitive Robotics,dialogue_reasoning,2018,11,2018-11-01,6
Cognitive Robotics,dialogue_reasoning,2018,12,2018-12-01,2
Cognitive Robotics,dialogue_reasoning,2019,1,2019-01-01,1
Cognitive Robotics,dialogue_reasoning,2019,2,2019-02-01,14
Cognitive Robotics,dialogue_reasoning,2019,3,2019-03-01,8
Cognitive Robotics,dialogue_reasoning,2019,4,2019-04-01,1
Cognitive Robotics,dialogue_reasoning,2019,5,2019-05-01,4
Cognitive Robotics,dialogue_reasoning,2019,6,2019-06-01,5
Cognitive Robotics,dialogue_reasoning,2019,7,2019-07-01,8
Cognitive Robotics,dialogue_reasoning,2019,9,2019-09-01,3
Cognitive Robotics,dialogue_reasoning,2019,10,2019-10-01,2
Cognitive Robotics,dialogue_reasoning,2019,11,2019-11-01,1
Cognitive Robotics,dialogue_reasoning,2019,12,2019-12-01,2
Cognitive Robotics,dialogue_reasoning,2020,1,2020-01-01,5
Cognitive Robotics,dialogue_reasoning,2020,2,2020-02-01,6
Cognitive Robotics,dialogue_reasoning,2020,3,2020-03-01,10
Cognitive Robotics,dialogue_reasoning,2020,4,2020-04-01,7
Cognitive Robotics,dialogue_reasoning,2020,5,2020-05-01,2
Cognitive Robotics,dialogue_reasoning,2020,6,2020-06-01,9
Cognitive Robotics,dialogue_reasoning,2020,7,2020-07-01,29
Cognitive Robotics,dialogue_reasoning,2020,8,2020-08-01,6
Cognitive Robotics,dialogue_reasoning,2020,10,2020-10-01,5
Cognitive Robotics,dialogue_reasoning,2020,11,2020-11-01,7
Cognitive Robotics,dialogue_reasoning,2020,12,2020-12-01,12
Cognitive Robotics,dialogue_reasoning,2021,1,2021-01-01,6
Cognitive Robotics,dialogue_reasoning,2021,2,2021-02-01,4
Cognitive Robotics,dialogue_reasoning,2021,3,2021-03-01,11
Cognitive Robotics,dialogue_reasoning,2021,4,2021-04-01,13
Cognitive Robotics,dialogue_reasoning,2021,5,2021-05-01,20
Cognitive Robotics,dialogue_reasoning,2021,6,2021-06-01,9
Cognitive Robotics,dialogue_reasoning,2021,7,2021-07-01,10
Cognitive Robotics,dialogue_reasoning,2021,8,2021-08-01,10
Cognitive Robotics,dialogue_reasoning,2021,10,2021-10-01,7
Cognitive Robotics,dialogue_reasoning,2021,11,2021-11-01,6
Cognitive Robotics,dialogue_reasoning,2021,12,2021-12-01,4
Cognitive Robotics,dialogue_reasoning,2022,1,2022-01-01,3
Cognitive Robotics,dialogue_reasoning,2022,2,2022-02-01,6
Cognitive Robotics,dialogue_reasoning,2022,3,2022-03-01,6
Cognitive Robotics,dialogue_reasoning,2022,4,2022-04-01,6
Cognitive Robotics,dialogue_reasoning,2022,5,2022-05-01,7
Cognitive Robotics,dialogue_reasoning,2022,6,2022-06-01,8
Cognitive Robotics,dialogue_reasoning,2022,7,2022-07-01,9
Cognitive Robotics,dialogue_reasoning,2022,8,2022-08-01,9
Cognitive Robotics,dialogue_reasoning,2022,9,2022-09-01,6
Cognitive Robotics,dialogue_reasoning,2022,10,2022-10-01,6
Cognitive Robotics,dialogue_reasoning,2022,11,2022-11-01,8
Cognitive Robotics,dialogue_reasoning,2022,12,2022-12-01,9
Cognitive Robotics,dialogue_reasoning,2023,1,2023-01-01,5
Cognitive Robotics,dialogue_reasoning,2023,2,2023-02-01,4
Cognitive Robotics,dialogue_reasoning,2023,3,2023-03-01,4
Cognitive Robotics,dialogue_reasoning,2023,4,2023-04-01,10
Cognitive Robotics,dialogue_reasoning,2023,5,2023-05-01,13
Cognitive Robotics,dialogue_reasoning,2023,6,2023-06-01,7
Cognitive Robotics,dialogue_reasoning,2023,7,2023-07-01,7
Cognitive Robotics,dialogue_reasoning,2023,8,2023-08-01,18
Cognitive Robotics,dialogue_reasoning,2023,9,2023-09-01,10
Cognitive Robotics,dialogue_reasoning,2023,10,2023-10-01,3
Cognitive Robotics,dialogue_reasoning,2023,11,2023-11-01,17
Cognitive Robotics,dialogue_reasoning,2023,12,2023-12-01,10
Cognitive Robotics,dialogue_reasoning,2024,1,2024-01-01,15
Cognitive Robotics,dialogue_reasoning,2024,2,2024-02-01,13
Cognitive Robotics,dialogue_reasoning,2024,3,2024-03-01,11
Cognitive Robotics,dialogue_reasoning,2024,4,2024-04-01,10
Cognitive Robotics,dialogue_reasoning,2024,5,2024-05-01,16
Cognitive Robotics,dialogue_reasoning,2024,6,2024-06-01,2
Cognitive Robotics,dialogue_reasoning,2024,7,2024-07-01,1
Cognitive Robotics,dialogue_reasoning,2024,8,2024-08-01,4
Cognitive Robotics,dialogue_reasoning,2024,9,2024-09-01,4
Cognitive Robotics,dialogue_reasoning,2024,10,2024-10-01,9
Cognitive Robotics,dialogue_reasoning,2024,11,2024-11-01,7
Cognitive Robotics,dialogue_reasoning,2024,12,2024-12-01,10
Cognitive Robotics,dialogue_reasoning,2025,1,2025-01-01,16
Cognitive Robotics,dialogue_reasoning,2025,2,2025-02-01,8
Cognitive Robotics,dialogue_reasoning,2025,3,2025-03-01,7
Cognitive Robotics,dialogue_reasoning,2025,4,2025-04-01,10
Cognitive Robotics,dialogue_reasoning,2025,5,2025-05-01,11
Cognitive Robotics,dialogue_reasoning,2025,6,2025-06-01,8
Cognitive Robotics,dialogue_reasoning,2025,7,2025-07-01,12
Cognitive Robotics,dialogue_reasoning,2025,8,2025-08-01,9
Cognitive Robotics,dialogue_reasoning,2025,9,2025-09-01,14
Cognitive Robotics,dialogue_reasoning,2025,10,2025-10-01,4
Cognitive Robotics,dialogue_reasoning,2025,11,2025-11-01,4
Cognitive Robotics,dialogue_reasoning,2025,12,2025-12-01,3
Conversational AI,dialogue_reasoning,2018,6,2018-06-01,1
Conversational AI,dialogue_reasoning,2018,7,2018-07-01,3
Conversational AI,dialogue_reasoning,2018,8,2018-08-01,7
Conversational AI,dialogue_reasoning,2018,9,2018-09-01,7
Conversational AI,dialogue_reasoning,2018,10,2018-10-01,3
Conversational AI,dialogue_reasoning,2018,11,2018-11-01,6
Conversational AI,dialogue_reasoning,2018,12,2018-12-01,2
Conversational AI,dialogue_reasoning,2019,1,2019-01-01,5
Conversational AI,dialogue_reasoning,2019,2,2019-02-01,4
Conversational AI,dialogue_reasoning,2019,3,2019-03-01,8
Conversational AI,dialogue_reasoning,2019,4,2019-04-01,9
Conversational AI,dialogue_reasoning,2019,5,2019-05-01,8
Conversational AI,dialogue_reasoning,2019,6,2019-06-01,13
Conversational AI,dialogue_reasoning,2019,7,2019-07-01,11
Conversational AI,dialogue_reasoning,2019,8,2019-08-01,9
Conversational AI,dialogue_reasoning,2019,9,2019-09-01,16
Conversational AI,dialogue_reasoning,2019,10,2019-10-01,15
Conversational AI,dialogue_reasoning,2019,11,2019-11-01,20
Conversational AI,dialogue_reasoning,2019,12,2019-12-01,35
Conversational AI,dialogue_reasoning,2020,1,2020-01-01,41
Conversational AI,dialogue_reasoning,2020,2,2020-02-01,37
Conversational AI,dialogue_reasoning,2020,3,2020-03-01,75
Conversational AI,dialogue_reasoning,2020,4,2020-04-01,34
Conversational AI,dialogue_reasoning,2020,5,2020-05-01,58
Conversational AI,dialogue_reasoning,2020,6,2020-06-01,48
Conversational AI,dialogue_reasoning,2020,7,2020-07-01,65
Conversational AI,dialogue_reasoning,2020,8,2020-08-01,76
Conversational AI,dialogue_reasoning,2020,9,2020-09-01,119
Conversational AI,dialogue_reasoning,2020,10,2020-10-01,130
Conversational AI,dialogue_reasoning,2020,11,2020-11-01,98
Conversational AI,dialogue_reasoning,2020,12,2020-12-01,115
Conversational AI,dialogue_reasoning,2021,1,2021-01-01,105
Conversational AI,dialogue_reasoning,2021,2,2021-02-01,123
Conversational AI,dialogue_reasoning,2021,3,2021-03-01,114
Conversational AI,dialogue_reasoning,2021,4,2021-04-01,79
Conversational AI,dialogue_reasoning,2021,5,2021-05-01,152
Conversational AI,dialogue_reasoning,2021,6,2021-06-01,82
